gene_id,sample,count,condition,batch,rin
thrA,control_1,79,control,A,8.2
thrA,control_2,68,control,B,8.8
thrA,control_3,52,control,A,9.1
thrA,treated_1,56,treated,B,7.9
thrA,treated_2,50,treated,A,9.7
thrA,treated_3,59,treated,B,9.1
lacZ,control_1,166,control,A,8.2
lacZ,control_2,96,control,B,8.8
lacZ,control_3,199,control,A,9.1
lacZ,treated_1,236,treated,B,7.9
lacZ,treated_2,287,treated,A,9.7
lacZ,treated_3,336,treated,B,9.1
recA,control_1,247,control,A,8.2
recA,control_2,159,control,B,8.8
recA,control_3,278,control,A,9.1
recA,treated_1,539,treated,B,7.9
recA,treated_2,330,treated,A,9.7
recA,treated_3,396,treated,B,9.1
rpoB,control_1,62,control,A,8.2
rpoB,control_2,64,control,B,8.8
rpoB,control_3,91,control,A,9.1
rpoB,treated_1,195,treated,B,7.9
rpoB,treated_2,179,treated,A,9.7
rpoB,treated_3,299,treated,B,9.1
gyrA,control_1,120,control,A,8.2
gyrA,control_2,92,control,B,8.8
gyrA,control_3,76,control,A,9.1
gyrA,treated_1,59,treated,B,7.9
gyrA,treated_2,67,treated,A,9.7
gyrA,treated_3,158,treated,B,9.1
dnaA,control_1,47,control,A,8.2
dnaA,control_2,34,control,B,8.8
dnaA,control_3,57,control,A,9.1
dnaA,treated_1,12,treated,B,7.9
dnaA,treated_2,15,treated,A,9.7
dnaA,treated_3,12,treated,B,9.1
ftsZ,control_1,386,control,A,8.2
ftsZ,control_2,367,control,B,8.8
ftsZ,control_3,488,control,A,9.1
ftsZ,treated_1,436,treated,B,7.9
ftsZ,treated_2,398,treated,A,9.7
ftsZ,treated_3,445,treated,B,9.1
ompA,control_1,164,control,A,8.2
ompA,control_2,171,control,B,8.8
ompA,control_3,257,control,A,9.1
ompA,treated_1,673,treated,B,7.9
ompA,treated_2,615,treated,A,9.7
ompA,treated_3,560,treated,B,9.1
sodA,control_1,90,control,A,8.2
sodA,control_2,138,control,B,8.8
sodA,control_3,115,control,A,9.1
sodA,treated_1,83,treated,B,7.9
sodA,treated_2,69,treated,A,9.7
sodA,treated_3,65,treated,B,9.1
katG,control_1,172,control,A,8.2
katG,control_2,134,control,B,8.8
katG,control_3,166,control,A,9.1
katG,treated_1,149,treated,B,7.9
katG,treated_2,144,treated,A,9.7
katG,treated_3,135,treated,B,9.1
fur,control_1,397,control,A,8.2
fur,control_2,332,control,B,8.8
fur,control_3,370,control,A,9.1
fur,treated_1,304,treated,B,7.9
fur,treated_2,342,treated,A,9.7
fur,treated_3,509,treated,B,9.1
crp,control_1,171,control,A,8.2
crp,control_2,205,control,B,8.8
crp,control_3,157,control,A,9.1
crp,treated_1,737,treated,B,7.9
crp,treated_2,603,treated,A,9.7
crp,treated_3,683,treated,B,9.1
arcA,control_1,207,control,A,8.2
arcA,control_2,249,control,B,8.8
arcA,control_3,117,control,A,9.1
arcA,treated_1,316,treated,B,7.9
arcA,treated_2,320,treated,A,9.7
arcA,treated_3,272,treated,B,9.1
soxS,control_1,445,control,A,8.2
soxS,control_2,438,control,B,8.8
soxS,control_3,458,control,A,9.1
soxS,treated_1,437,treated,B,7.9
soxS,treated_2,512,treated,A,9.7
soxS,treated_3,451,treated,B,9.1
marA,control_1,464,control,A,8.2
marA,control_2,382,control,B,8.8
marA,control_3,420,control,A,9.1
marA,treated_1,212,treated,B,7.9
marA,treated_2,211,treated,A,9.7
marA,treated_3,343,treated,B,9.1
acrB,control_1,361,control,A,8.2
acrB,control_2,246,control,B,8.8
acrB,control_3,323,control,A,9.1
acrB,treated_1,437,treated,B,7.9
acrB,treated_2,455,treated,A,9.7
acrB,treated_3,465,treated,B,9.1
tolC,control_1,419,control,A,8.2
tolC,control_2,576,control,B,8.8
tolC,control_3,542,control,A,9.1
tolC,treated_1,137,treated,B,7.9
tolC,treated_2,146,treated,A,9.7
tolC,treated_3,176,treated,B,9.1
mdtK,control_1,282,control,A,8.2
mdtK,control_2,223,control,B,8.8
mdtK,control_3,215,control,A,9.1
mdtK,treated_1,204,treated,B,7.9
mdtK,treated_2,199,treated,A,9.7
mdtK,treated_3,193,treated,B,9.1
emrB,control_1,534,control,A,8.2
emrB,control_2,485,control,B,8.8
emrB,control_3,499,control,A,9.1
emrB,treated_1,104,treated,B,7.9
emrB,treated_2,120,treated,A,9.7
emrB,treated_3,85,treated,B,9.1
ydhB,control_1,126,control,A,8.2
ydhB,control_2,145,control,B,8.8
ydhB,control_3,155,control,A,9.1
ydhB,treated_1,130,treated,B,7.9
ydhB,treated_2,114,treated,A,9.7
ydhB,treated_3,116,treated,B,9.1
