gene_id,sample,count
thrA,control_1,79
thrA,control_2,68
thrA,control_3,52
thrA,treated_1,56
thrA,treated_2,50
thrA,treated_3,59
lacZ,control_1,166
lacZ,control_2,96
lacZ,control_3,199
lacZ,treated_1,236
lacZ,treated_2,287
lacZ,treated_3,336
recA,control_1,247
recA,control_2,159
recA,control_3,278
recA,treated_1,539
recA,treated_2,330
recA,treated_3,396
rpoB,control_1,62
rpoB,control_2,64
rpoB,control_3,91
rpoB,treated_1,195
rpoB,treated_2,179
rpoB,treated_3,299
gyrA,control_1,120
gyrA,control_2,92
gyrA,control_3,76
gyrA,treated_1,59
gyrA,treated_2,67
gyrA,treated_3,158
dnaA,control_1,47
dnaA,control_2,34
dnaA,control_3,57
dnaA,treated_1,12
dnaA,treated_2,15
dnaA,treated_3,12
ftsZ,control_1,386
ftsZ,control_2,367
ftsZ,control_3,488
ftsZ,treated_1,436
ftsZ,treated_2,398
ftsZ,treated_3,445
ompA,control_1,164
ompA,control_2,171
ompA,control_3,257
ompA,treated_1,673
ompA,treated_2,615
ompA,treated_3,560
sodA,control_1,90
sodA,control_2,138
sodA,control_3,115
sodA,treated_1,83
sodA,treated_2,69
sodA,treated_3,65
katG,control_1,172
katG,control_2,134
katG,control_3,166
katG,treated_1,149
katG,treated_2,144
katG,treated_3,135
fur,control_1,397
fur,control_2,332
fur,control_3,370
fur,treated_1,304
fur,treated_2,342
fur,treated_3,509
crp,control_1,171
crp,control_2,205
crp,control_3,157
crp,treated_1,737
crp,treated_2,603
crp,treated_3,683
arcA,control_1,207
arcA,control_2,249
arcA,control_3,117
arcA,treated_1,316
arcA,treated_2,320
arcA,treated_3,272
soxS,control_1,445
soxS,control_2,438
soxS,control_3,458
soxS,treated_1,437
soxS,treated_2,512
soxS,treated_3,451
marA,control_1,464
marA,control_2,382
marA,control_3,420
marA,treated_1,212
marA,treated_2,211
marA,treated_3,343
acrB,control_1,361
acrB,control_2,246
acrB,control_3,323
acrB,treated_1,437
acrB,treated_2,455
acrB,treated_3,465
tolC,control_1,419
tolC,control_2,576
tolC,control_3,542
tolC,treated_1,137
tolC,treated_2,146
tolC,treated_3,176
mdtK,control_1,282
mdtK,control_2,223
mdtK,control_3,215
mdtK,treated_1,204
mdtK,treated_2,199
mdtK,treated_3,193
emrB,control_1,534
emrB,control_2,485
emrB,control_3,499
emrB,treated_1,104
emrB,treated_2,120
emrB,treated_3,85
ydhB,control_1,126
ydhB,control_2,145
ydhB,control_3,155
ydhB,treated_1,130
ydhB,treated_2,114
ydhB,treated_3,116
