gene_id,condition,mean_count
acrB,control,310
acrB,treated,452.3333333333333
arcA,control,191
arcA,treated,302.6666666666667
crp,control,177.66666666666666
crp,treated,674.3333333333334
dnaA,control,46
dnaA,treated,13
emrB,control,506
emrB,treated,103
ftsZ,control,413.6666666666667
ftsZ,treated,426.3333333333333
fur,control,366.3333333333333
fur,treated,385
gyrA,control,96
gyrA,treated,94.66666666666667
katG,control,157.33333333333334
katG,treated,142.66666666666666
lacZ,control,153.66666666666666
lacZ,treated,286.3333333333333
marA,control,422
marA,treated,255.33333333333334
mdtK,control,240
mdtK,treated,198.66666666666666
ompA,control,197.33333333333334
ompA,treated,616
recA,control,228
recA,treated,421.6666666666667
rpoB,control,72.33333333333333
rpoB,treated,224.33333333333334
sodA,control,114.33333333333333
sodA,treated,72.33333333333333
soxS,control,447
soxS,treated,466.6666666666667
thrA,control,66.33333333333333
thrA,treated,55
tolC,control,512.3333333333334
tolC,treated,153
ydhB,control,142
ydhB,treated,120
