gene_id,control,treated,log2FC
crp,36776.873266152055,123399.1493036094,1.7464341786838726
ompA,40463.13977529036,113141.35044336226,1.4834232165237142
rpoB,14842.529900702537,40750.30374517073,1.4570119995625155
lacZ,31328.270899426545,52352.31650958682,0.7407697373353743
recA,46586.27192088083,77106.6661271599,0.7269384506515751
arcA,39744.020814773394,55660.105083095514,0.48589541843847117
acrB,63558.15360127354,82919.41132775223,0.38362736010721504
soxS,92065.71102477581,85779.73298403171,-0.10202596521070688
fur,75325.81743166532,70063.80440057728,-0.10447365825221439
ftsZ,84929.43810253812,78029.71883054658,-0.12223950155355828
gyrA,19791.12656887568,17066.07497717782,-0.21371080659394
katG,32299.734933876156,26191.91199515475,-0.3023905305959832
ydhB,29263.36609006437,21999.19766016732,-0.4116285424125127
mdtK,49411.27103100953,36451.76304580374,-0.4388411927631252
thrA,13697.537398571274,10056.837371433461,-0.4457017326593254
sodA,23678.789027622744,13277.336400598659,-0.8345818200405383
marA,86777.85320369524,46396.88981039171,-0.9032843281847397
tolC,105863.35424434466,27961.083073449914,-1.9206731535841868
dnaA,9407.244601150687,2393.820393463145,-1.9740081078091885
emrB,104189.49616331117,19002.52651746705,-2.4548846148562684
