gene_id,condition,sd_count
acrB,control,58.59180830116101
acrB,treated,14.189197769195175
arcA,control,67.43886120034946
arcA,treated,26.633312473917574
crp,control,24.684678108764825
crp,treated,67.41908730718129
dnaA,control,11.532562594670797
dnaA,treated,1.7320508075688772
emrB,control,25.238858928247925
emrB,treated,17.52141546793523
ftsZ,control,65.07175526550158
ftsZ,treated,24.94660965609021
fur,control,32.65475973473596
fur,treated,109.05503197927182
gyrA,control,22.271057451320086
gyrA,treated,54.9939390599849
katG,control,20.428737928059416
katG,treated,7.094598884597588
lacZ,control,52.5959440768329
lacZ,treated,50.00333322222963
marA,control,41.036569057366385
marA,treated,75.92320681671272
mdtK,control,36.59234892706397
mdtK,treated,5.507570547286102
ompA,control,51.79124765183142
ompA,treated,56.50663677834667
recA,control,61.73329733620261
recA,treated,106.83788341844541
rpoB,control,16.19670748434179
rpoB,treated,65.15622252197662
sodA,control,24.00694344004112
sodA,treated,9.451631252505216
soxS,control,10.14889156509222
soxS,treated,39.87898360456712
thrA,control,13.576941236277534
thrA,treated,4.58257569495584
tolC,control,82.59741723161405
tolC,treated,20.42057785666214
ydhB,control,14.730919862656235
ydhB,treated,8.717797887081348
