names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
HBD,4.917915,6.372488,8.747089606568185e-07,0.02684471503338622,0.9736842105263158,Significant
RPS26,4.815695,1.1416761,1.4668842399599037e-06,0.02684471503338622,1.0,Significant
PCLAF,4.213733,3.3465588,2.5118405111141128e-05,0.09714087746199788,0.868421052631579,Not Sig
RPS28,4.2023754,0.73847175,2.641286772040782e-05,0.09714087746199788,1.0,Not Sig
RPS21,4.17966,0.79154265,2.9194548020053462e-05,0.09714087746199788,1.0,Not Sig
RPS29,4.0433664,0.54913056,5.268914652411432e-05,0.12308985761082877,1.0,Not Sig
B2M,4.0433664,0.9572208,5.268914652411432e-05,0.12308985761082877,1.0,Not Sig
HLA-B,3.9070733,1.6206027,9.342081451523805e-05,0.16282358247962989,1.0,Not Sig
NAA38,3.8389268,2.083939,0.00012357331893229873,0.1884544602600444,0.9473684210526315,Not Sig
PRKG1,3.8162112,2.9942994,0.00013551655219600043,0.19840165307703247,0.8421052631578947,Not Sig
HLA-A,3.77078,1.3972119,0.00016273805613478158,0.21272769973532646,1.0,Not Sig
HBB,3.6799178,30.36136,0.00023330906664737356,0.29446017752967313,0.7105263157894737,Not Sig
RPL37A,3.634487,0.48831752,0.00027853451305850555,0.32885941007917296,1.0,Not Sig
ATP5MF,3.5663402,2.6620157,0.0003620014123339138,0.41405042790104934,0.7894736842105263,Not Sig
NENF,3.5436246,1.4779223,0.00039466671892888984,0.437733229682312,1.0,Not Sig
LRBA,3.4527624,1.4126354,0.0005548773819581419,0.5344491330802619,0.9473684210526315,Not Sig
H2AFZ,3.430047,1.9422667,0.0006034768844158724,0.5521964361626337,0.9736842105263158,Not Sig
CALM2,3.3164692,1.2814592,0.0009116263263102225,0.709924152537882,0.9736842105263158,Not Sig
ELOB,3.271038,1.4476646,0.0010715346446844233,0.7843847906018916,0.8947368421052632,Not Sig
UQCR10,3.2483225,1.896796,0.0011608757996786983,0.8331218655694124,0.8157894736842105,Not Sig
RPL36,3.2256072,0.5229129,0.0012570582085635494,0.8681054243704617,1.0,Not Sig
PIM1,3.2142494,2.758773,0.0013078608234140387,0.8864632221810598,0.7631578947368421,Not Sig
UBL5,3.2028916,1.246425,0.001360552322886663,0.8892424208924063,0.9473684210526315,Not Sig
SEC61B,3.0893137,1.217895,0.0020061942873218818,1.0,0.9736842105263158,Not Sig
LST1,3.0665982,1.8715838,0.0021650964809063855,1.0,0.8947368421052632,Not Sig
GPX4,3.0552404,0.940189,0.002248801376367306,1.0,1.0,Not Sig
MT2A,2.9984517,2.2755077,0.0027135524179855075,1.0,0.7105263157894737,Not Sig
TMBIM6,2.987094,2.0562832,0.0028164325554332226,1.0,0.7631578947368421,Not Sig
