names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
RPS26,26.83927,1.3457522,1.1254492939719114e-158,4.119256960866593e-154,0.9976303317535545,Significant
RPL36,26.714516,1.0872312,3.192456868588894e-157,5.842355692361105e-153,1.0,Significant
RPS28,26.499638,0.945873,9.78574369060301e-155,1.1938933493992026e-150,1.0,Not Sig
RPS29,25.805338,0.969239,7.724562923009649e-147,7.068168188626904e-143,1.0,Not Sig
RPL37A,25.465027,0.8684475,4.812594756591513e-143,3.52291561372012e-139,1.0,Not Sig
RPL39,25.337555,0.74724686,1.2324456200808195e-141,7.518123690096345e-138,1.0,Not Sig
RPS21,24.795853,0.9372074,9.937816230320226e-136,5.1962001692278655e-132,0.9976303317535545,Not Sig
RPL41,23.737764,0.49701658,1.4699190469806646e-124,6.7250633798174135e-121,1.0,Not Sig
GIHCG,22.439285,2.1462946,1.6284119720079717e-111,4.96679221562198e-108,0.976303317535545,Significant
RPL27A,22.1306,0.45495474,1.6043074209795551e-108,4.516865839636361e-105,1.0,Not Sig
RPS27,21.983435,0.58985525,4.148531531477715e-107,1.0122693505574388e-103,1.0,Not Sig
RPL37,21.383816,0.5709454,1.8902169526747515e-101,4.323989417803036e-98,0.9976303317535545,Not Sig
RPL35,20.721432,0.50627184,2.219835815849665e-95,4.06241053479568e-92,1.0,Not Sig
HBB,20.43797,5.660815,7.687232505479468e-93,1.339811413966924e-89,0.7488151658767772,Significant
SOCS3,18.929657,5.020181,6.498346262029281e-80,9.910248814022238e-77,0.7085308056872038,Significant
SNHG6,18.448196,0.9736028,5.391412402786572e-76,7.893243414175654e-73,0.995260663507109,Not Sig
RPLP1,18.144846,0.39531937,1.410281225566723e-73,1.9852962744987552e-70,1.0,Not Sig
RPS15,17.978086,0.33524954,2.8930599403177095e-72,3.921810625021055e-69,0.9976303317535545,Not Sig
RPL38,17.883308,0.5987571,1.5911109223791223e-71,2.0798661024999376e-68,1.0,Not Sig
RPL10,17.70539,0.32652703,3.810228491225576e-70,4.6486057669115766e-67,1.0,Not Sig
RPL36A,16.977816,0.4676736,1.1986338054794984e-64,1.3709748723235975e-61,1.0,Not Sig
RPS14,16.465895,0.27994788,6.450190929850347e-61,7.154043582528865e-58,0.9976303317535545,Not Sig
RPL28,16.300104,0.33726096,9.852341984345353e-60,1.0606046146147773e-56,1.0,Not Sig
PIM1,15.864432,3.2539527,1.1172244714601979e-56,1.1358759133309638e-53,0.6563981042654028,Significant
ARMH1,15.742006,1.6380079,7.793330137146816e-56,7.70928854999218e-53,0.8862559241706162,Significant
GPC5,15.694374,2.3287625,1.652644730276968e-55,1.5918013098122974e-52,0.7843601895734598,Significant
JUNB,15.443797,1.9068352,8.306251924217697e-54,7.795310940469023e-51,0.8270142180094787,Significant
RPL14,15.3417425,0.3325904,4.022486776451873e-53,3.6806759626228755e-50,0.9976303317535545,Not Sig
KCNQ5,15.321467,1.8119304,5.496224457179687e-53,4.906519789200822e-50,0.8625592417061612,Significant
RPS19,15.112508,0.2862358,1.339427058518742e-51,1.1672468992582018e-48,1.0,Not Sig
RPLP2,14.903743,0.27962506,3.116234450992774e-50,2.5346066031285894e-47,1.0,Not Sig
BAALC,14.568379,2.6143937,4.4635614748320834e-48,3.4035586154235225e-45,0.6516587677725119,Significant
RPL18A,14.388231,0.27106863,6.134447821326025e-47,4.582182136905181e-44,1.0,Not Sig
XACT,14.345062,4.8788505,1.1439779271710616e-46,8.374147222477606e-44,0.542654028436019,Significant
CACNB2,14.130185,2.3047528,2.4749333507630048e-45,1.7761771680642497e-42,0.6919431279620853,Significant
PDLIM1,14.090993,2.2543228,4.314521733736104e-45,3.036842499547599e-42,0.6777251184834123,Significant
PRKG1,13.373022,2.6678226,8.693575152553171e-41,5.582342879975413e-38,0.6066350710900474,Significant
LGALS1,13.266893,2.950235,3.602083399881871e-40,2.1613090904766614e-37,0.5876777251184834,Significant
RPS23,12.990512,0.20464404,1.384982238171471e-38,7.798728446048309e-36,1.0,Not Sig
ATP5MPL,12.890494,1.0396287,5.091644840782108e-38,2.8236256487494835e-35,0.9052132701421801,Significant
B2M,12.516423,0.40729266,6.070948014858381e-36,3.220329975243936e-33,1.0,Not Sig
MCTP2,12.249064,1.3713208,1.699456739311518e-34,8.405650826424442e-32,0.8056872037914692,Significant
RPS15A,12.176404,0.1957519,4.151892201124831e-34,1.999518505965394e-31,0.9976303317535545,Not Sig
LY6E,12.110922,1.2365614,9.244917497598429e-34,4.338118273456411e-31,0.8080568720379147,Significant
PRSS57,11.999748,0.83583635,3.5637784880246845e-33,1.6511121068378666e-30,0.957345971563981,Not Sig
NFKBIA,11.824742,1.3229795,2.907932856141459e-32,1.2994667517913168e-29,0.8483412322274881,Significant
NAA38,11.814363,1.3468583,3.2903578009311325e-32,1.4509685044804865e-29,0.7677725118483413,Significant
CDH9,11.608604,3.817964,3.7264907708318325e-31,1.604626925920187e-28,0.45260663507109006,Significant
FABP5,11.547391,1.2789704,7.609560805923093e-31,3.2385759890417576e-28,0.8199052132701422,Significant
SLC25A6,11.470753,0.55023676,1.850421439023093e-30,7.60980618985216e-28,0.9881516587677726,Not Sig
SNHG29,11.41895,0.31968436,3.362735076517614e-30,1.3675496281735687e-27,0.9976303317535545,Not Sig
FREM1,11.345125,2.9783518,7.841410234596203e-30,3.11960278257017e-27,0.48578199052132703,Significant
RPS18,11.210572,0.19490828,3.618467715973518e-29,1.4089312433228376e-26,1.0,Not Sig
CALHM6,11.0734,1.5851074,1.6886952707362048e-28,6.371952124145962e-26,0.6540284360189573,Significant
POLR2L,11.048469,1.3872511,2.2298654364539353e-28,8.328092330576581e-26,0.7037914691943128,Significant
RPS8,10.891894,0.17983593,1.259919474957962e-27,4.521011049307487e-25,0.9976303317535545,Not Sig
IGLL1,10.735515,1.4913126,6.933191539728406e-27,2.4167785099580894e-24,0.7274881516587678,Significant
TUBA1B,10.53674,1.0143682,5.849098663142527e-26,2.0007743941091552e-23,0.9502369668246445,Significant
RPL34,10.499003,0.2406514,8.729648613249736e-26,2.9584617490143847e-23,1.0,Not Sig
RPL7,10.445745,0.2737862,1.5324683073956466e-25,5.145859864127345e-23,1.0,Not Sig
PPA1,10.29179,0.83917826,7.673600757030591e-25,2.507691618822113e-22,0.8862559241706162,Not Sig
CD69,10.215541,1.4777846,1.68934793463111e-24,5.471842810215333e-22,0.7014218009478673,Significant
HLA-DQA2,10.0157,7.2546544,1.3003803242495125e-23,3.999598340156001e-21,0.36018957345971564,Significant
HLA-B,9.959531,0.5784462,2.291405557300463e-23,6.98897790022952e-21,0.981042654028436,Not Sig
RPL3,9.914518,0.16057283,3.599876335348679e-23,1.0799924077876804e-20,1.0,Not Sig
MGST1,9.90831,1.1338437,3.8307099768060736e-23,1.1399009419599927e-20,0.7630331753554502,Significant
HMGN3,9.819352,0.8238847,9.293921850582996e-23,2.7213346692255055e-20,0.8815165876777251,Not Sig
RAN,9.729812,0.8408881,2.2500938536979218e-22,6.521910038708408e-20,0.9146919431279621,Not Sig
RPS25,9.668793,0.19560595,4.0917812757847674e-22,1.170025675585924e-19,1.0,Not Sig
COX6C,9.491264,0.6272493,2.2824957088999667e-21,6.42627888011136e-19,0.9289099526066351,Not Sig
RPL32,9.429468,0.16066378,4.121717261277697e-21,1.151595217404771e-18,1.0,Not Sig
MEG3,9.214009,4.0997214,3.141655952345529e-20,8.517611074948051e-18,0.3578199052132701,Significant
ATP5F1E,9.212263,0.59105146,3.1931986823898144e-20,8.593695953981588e-18,0.9715639810426541,Not Sig
H2AFZ,9.116805,0.9445153,7.737134502274417e-20,2.0373155389765894e-17,0.8720379146919431,Not Sig
SNRPD1,9.048413,0.71847624,1.4506071613361075e-19,3.712844245598802e-17,0.9052132701421801,Not Sig
TMEM258,9.045988,0.8514954,1.4831761080843635e-19,3.7698422730552625e-17,0.7772511848341233,Not Sig
PDE4D,9.003013,1.20426,2.196069820349363e-19,5.5053665407265086e-17,0.6777251184834123,Significant
ATP5ME,8.926181,1.1215264,4.409697034822807e-19,1.0905359538618215e-16,0.6611374407582938,Significant
COX7C,8.919875,0.36309326,4.668143330233504e-19,1.1467027787240033e-16,0.9834123222748815,Not Sig
RPS12,8.851483,0.15861088,8.636388202217423e-19,2.0660159777082347e-16,1.0,Not Sig
LSP1,8.8292675,1.0562805,1.053632017329704e-18,2.504154900408084e-16,0.7156398104265402,Significant
PPIA,8.73284,0.5232587,2.4835665847061805e-18,5.753229149799424e-16,0.9834123222748815,Not Sig
RPS5,8.643203,0.17523974,5.465887182362954e-18,1.2425896693271212e-15,1.0,Not Sig
SLIRP,8.568311,1.1061841,1.0501397558455796e-17,2.3580469450125187e-15,0.6350710900473934,Significant
GABPB1-AS1,8.566176,1.114243,1.06977718160683e-17,2.387494794145828e-15,0.6445497630331753,Significant
LSM5,8.476637,0.8114788,2.3179786588094065e-17,5.141838599459581e-15,0.7819905213270142,Not Sig
GOLPH3,8.429489,0.9400027,3.4717618746193805e-17,7.654816648972527e-15,0.7298578199052133,Not Sig
TNFSF13B,8.407953,1.3107525,4.172269827107613e-17,9.089836187021771e-15,0.566350710900474,Significant
AL592430.1,8.376231,7.996722,5.4649556506721295e-17,1.1835671110665716e-14,0.3009478672985782,Significant
