names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
RPS26,26.83927,1.3457522,1.1254492939719114e-158,4.119256960866593e-154,0.9976303317535545,Significant
RPL36,26.714516,1.0872312,3.192456868588894e-157,5.842355692361105e-153,1.0,Significant
GIHCG,22.439285,2.1462946,1.6284119720079717e-111,4.96679221562198e-108,0.976303317535545,Significant
HBB,20.43797,5.660815,7.687232505479468e-93,1.339811413966924e-89,0.7488151658767772,Significant
SOCS3,18.929657,5.020181,6.498346262029281e-80,9.910248814022238e-77,0.7085308056872038,Significant
PIM1,15.864432,3.2539527,1.1172244714601979e-56,1.1358759133309638e-53,0.6563981042654028,Significant
ARMH1,15.742006,1.6380079,7.793330137146816e-56,7.70928854999218e-53,0.8862559241706162,Significant
GPC5,15.694374,2.3287625,1.652644730276968e-55,1.5918013098122974e-52,0.7843601895734598,Significant
JUNB,15.443797,1.9068352,8.306251924217697e-54,7.795310940469023e-51,0.8270142180094787,Significant
KCNQ5,15.321467,1.8119304,5.496224457179687e-53,4.906519789200822e-50,0.8625592417061612,Significant
BAALC,14.568379,2.6143937,4.4635614748320834e-48,3.4035586154235225e-45,0.6516587677725119,Significant
XACT,14.345062,4.8788505,1.1439779271710616e-46,8.374147222477606e-44,0.542654028436019,Significant
CACNB2,14.130185,2.3047528,2.4749333507630048e-45,1.7761771680642497e-42,0.6919431279620853,Significant
PDLIM1,14.090993,2.2543228,4.314521733736104e-45,3.036842499547599e-42,0.6777251184834123,Significant
PRKG1,13.373022,2.6678226,8.693575152553171e-41,5.582342879975413e-38,0.6066350710900474,Significant
LGALS1,13.266893,2.950235,3.602083399881871e-40,2.1613090904766614e-37,0.5876777251184834,Significant
ATP5MPL,12.890494,1.0396287,5.091644840782108e-38,2.8236256487494835e-35,0.9052132701421801,Significant
MCTP2,12.249064,1.3713208,1.699456739311518e-34,8.405650826424442e-32,0.8056872037914692,Significant
LY6E,12.110922,1.2365614,9.244917497598429e-34,4.338118273456411e-31,0.8080568720379147,Significant
NFKBIA,11.824742,1.3229795,2.907932856141459e-32,1.2994667517913168e-29,0.8483412322274881,Significant
NAA38,11.814363,1.3468583,3.2903578009311325e-32,1.4509685044804865e-29,0.7677725118483413,Significant
CDH9,11.608604,3.817964,3.7264907708318325e-31,1.604626925920187e-28,0.45260663507109006,Significant
FABP5,11.547391,1.2789704,7.609560805923093e-31,3.2385759890417576e-28,0.8199052132701422,Significant
FREM1,11.345125,2.9783518,7.841410234596203e-30,3.11960278257017e-27,0.48578199052132703,Significant
CALHM6,11.0734,1.5851074,1.6886952707362048e-28,6.371952124145962e-26,0.6540284360189573,Significant
POLR2L,11.048469,1.3872511,2.2298654364539353e-28,8.328092330576581e-26,0.7037914691943128,Significant
IGLL1,10.735515,1.4913126,6.933191539728406e-27,2.4167785099580894e-24,0.7274881516587678,Significant
TUBA1B,10.53674,1.0143682,5.849098663142527e-26,2.0007743941091552e-23,0.9502369668246445,Significant
CD69,10.215541,1.4777846,1.68934793463111e-24,5.471842810215333e-22,0.7014218009478673,Significant
HLA-DQA2,10.0157,7.2546544,1.3003803242495125e-23,3.999598340156001e-21,0.36018957345971564,Significant
MGST1,9.90831,1.1338437,3.8307099768060736e-23,1.1399009419599927e-20,0.7630331753554502,Significant
MEG3,9.214009,4.0997214,3.141655952345529e-20,8.517611074948051e-18,0.3578199052132701,Significant
PDE4D,9.003013,1.20426,2.196069820349363e-19,5.5053665407265086e-17,0.6777251184834123,Significant
ATP5ME,8.926181,1.1215264,4.409697034822807e-19,1.0905359538618215e-16,0.6611374407582938,Significant
LSP1,8.8292675,1.0562805,1.053632017329704e-18,2.504154900408084e-16,0.7156398104265402,Significant
SLIRP,8.568311,1.1061841,1.0501397558455796e-17,2.3580469450125187e-15,0.6350710900473934,Significant
GABPB1-AS1,8.566176,1.114243,1.06977718160683e-17,2.387494794145828e-15,0.6445497630331753,Significant
TNFSF13B,8.407953,1.3107525,4.172269827107613e-17,9.089836187021771e-15,0.566350710900474,Significant
AL592430.1,8.376231,7.996722,5.4649556506721295e-17,1.1835671110665716e-14,0.3009478672985782,Significant
FGF13,8.153108,4.966253,3.5468829248156576e-16,7.334432877467677e-14,0.3033175355450237,Significant
AC068587.4,8.061918,1.1496804,7.510614432361919e-16,1.5104175760377943e-13,0.6137440758293838,Significant
MALRD1,7.6720357,1.467072,1.6928803931333793e-14,3.052271688131764e-12,0.4786729857819905,Significant
NLGN1,7.6624317,1.4987755,1.8244538845572308e-14,3.2733743445430983e-12,0.471563981042654,Significant
MYO1D,7.5748315,1.9854915,3.595940056511937e-14,6.420244000409434e-12,0.3815165876777251,Significant
IRF1,7.5360274,1.4451606,4.8450438825997663e-14,8.484854121867659e-12,0.4834123222748815,Significant
PCLAF,7.4547334,1.4906466,9.004990838622195e-14,1.5620458278882037e-11,0.48578199052132703,Significant
IRF9,7.424175,1.9052969,1.1348503997908068e-13,1.9409653963898747e-11,0.38388625592417064,Significant
MYC,7.406228,2.2166548,1.299422154225849e-13,2.1917119938626865e-11,0.36255924170616116,Significant
ISG15,7.383043,1.3401998,1.547123182955712e-13,2.5975346614386247e-11,0.4976303317535545,Significant
C12orf75,7.3783865,1.4953188,1.602195631174351e-13,2.677715173361298e-11,0.44786729857819907,Significant
MZB1,7.206485,1.1196269,5.741483000089371e-13,9.257445783536169e-11,0.5308056872037915,Significant
ATOX1,7.047776,1.1241033,1.8179971215477107e-12,2.893065767207294e-10,0.5260663507109005,Significant
TRBC2,6.966385,1.7115388,3.2518889088711667e-12,5.064782381003981e-10,0.3791469194312796,Significant
CDCA7,6.951639,1.4468052,3.610656296141533e-12,5.599730131147298e-10,0.43364928909952605,Significant
HBA2,6.771104,5.257023,1.2780362433422229e-11,1.8861856670390603e-09,0.24881516587677724,Significant
PBX3,6.652169,1.353843,2.888039282505345e-11,4.178068212607832e-09,0.43601895734597157,Significant
IFI44L,6.571651,2.7190504,4.9760338357929335e-11,6.951443298620502e-09,0.28672985781990523,Significant
CYP7B1,6.5085945,2.2577977,7.58571077561209e-11,1.055682890107141e-08,0.3033175355450237,Significant
TMEM65,6.4962745,1.2937623,8.233343830810287e-11,1.1328895396672456e-08,0.43601895734597157,Significant
SLFNL1,6.363662,1.997314,1.9699976802696835e-10,2.6315286531222877e-08,0.3246445497630332,Significant
KIT,6.2381306,1.7923684,4.4283037396383415e-10,5.809331368261754e-08,0.33175355450236965,Significant
GTF2H2,6.2054386,3.0460756,5.454462939814317e-10,7.029535142962809e-08,0.25829383886255924,Significant
CHCHD7,6.1875887,1.2478912,6.109152231129246e-10,7.845651958300404e-08,0.42890995260663506,Significant
CENPU,6.141509,1.8270388,8.174128343382722e-10,1.0245933955347637e-07,0.32701421800947866,Significant
DLK1,6.1399565,1.4638016,8.254399583948038e-10,1.031123819699939e-07,0.3696682464454976,Significant
STAT1,6.122107,1.799566,9.234607438218625e-10,1.1457487011736947e-07,0.32701421800947866,Significant
PPIL3,6.07302,1.2940389,1.2552699587918202e-09,1.5163081109484955e-07,0.4052132701421801,Significant
TIMM10,6.0540056,1.3784274,1.4128751204205526e-09,1.6954964682791032e-07,0.3815165876777251,Significant
SNHG17,6.0281043,1.2411737,1.6589414831363294e-09,1.9650135024036502e-07,0.41232227488151657,Significant
NDUFA3,5.890156,1.05938,3.858313987960092e-09,4.318597867685851e-07,0.4597156398104265,Significant
AC021723.2,5.8865666,6.5901523,3.943010139901738e-09,4.399942503979985e-07,0.2132701421800948,Significant
ELL2,5.8768654,1.3893154,4.181075025023519e-09,4.6233089725343147e-07,0.3767772511848341,Significant
NR6A1,5.803526,1.1627264,6.493467862673337e-09,7.052445615480913e-07,0.41706161137440756,Significant
RAPGEF6,5.7979965,1.1092454,6.71118806441432e-09,7.245905437924145e-07,0.4431279620853081,Significant
AC120193.1,5.7199035,1.4108078,1.0658464382664496e-08,1.1242376221034675e-06,0.36255924170616116,Significant
TFRC,5.659951,1.7037591,1.5141604107797364e-08,1.5789112591153599e-06,0.3127962085308057,Significant
PDZRN4,5.5934024,7.5044656,2.2266248274804344e-08,2.2637970919614273e-06,0.2014218009478673,Significant
MIR924HG,5.5676947,1.1017355,2.581315801734595e-08,2.609909935339445e-06,0.42890995260663506,Significant
EPSTI1,5.4731097,1.2460338,4.422055472026851e-08,4.316044062177461e-06,0.3791469194312796,Significant
PIEZO2,5.4216948,4.312961,5.9036663099070386e-08,5.701321651950067e-06,0.20616113744075829,Significant
HBA1,5.4200454,6.298034,5.958387364195011e-08,5.739024629392147e-06,0.1966824644549763,Significant
UBE2E2,5.3696003,1.8683277,7.891134546587396e-08,7.501906897133643e-06,0.2772511848341232,Significant
BCL2,5.3102303,1.099011,1.0948687284970105e-07,1.0119517760535122e-05,0.4004739336492891,Significant
AHI1,5.2524123,1.1741506,1.5012002165263681e-07,1.3600353743832078e-05,0.3767772511848341,Significant
CRPPA,5.2180705,1.9814255,1.807964828552481e-07,1.6100564644732204e-05,0.2677725118483412,Significant
PAG1,5.1834383,2.435701,2.17832540306077e-07,1.9211780259621026e-05,0.23459715639810427,Significant
RGS1,5.1578274,2.4401636,2.4983166549619525e-07,2.192827047680154e-05,0.23696682464454977,Significant
