names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
RPS26,8.062811,1.3808638,7.455962972869178e-16,1.364478503849924e-11,1.0,Significant
RPL37A,7.790521,0.73369116,6.673337173605304e-15,5.844588712651698e-11,1.0,Not Sig
RPL41,7.7678304,0.62707067,7.984192662292967e-15,5.844588712651698e-11,1.0,Not Sig
RPL36,7.6846304,1.011846,1.5343912135045035e-14,9.360042134246388e-11,1.0,Significant
RPS29,7.404777,0.8007955,1.3137114576907462e-13,5.342572562548778e-10,1.0,Not Sig
B2M,7.38965,1.091013,1.472161756895259e-13,5.388259246412337e-10,1.0,Significant
RPS28,7.170305,0.6421025,7.483092003909945e-13,2.4898968221373447e-09,0.9782608695652174,Not Sig
RPL28,6.799688,0.49721426,1.0484605696643781e-11,3.197892109190492e-08,1.0,Not Sig
RPL35,6.7845607,0.5969492,1.1644031556433932e-11,3.2783322999772185e-08,1.0,Not Sig
PDLIM1,6.5576525,1.988704,5.466148794282129e-11,1.4290465144251444e-07,0.9782608695652174,Significant
HBB,6.482016,4.562768,9.050495809298793e-11,2.1767604010628033e-07,0.8260869565217391,Significant
RPS21,6.187035,0.66193795,6.130626480728765e-10,1.0685098086721594e-06,1.0,Not Sig
XACT,5.8466725,2.921374,5.015029865254848e-09,7.342204323927707e-06,0.9130434782608695,Significant
LY6E,5.8315454,2.5232775,5.491635265141381e-09,7.730743936132295e-06,0.8695652173913043,Significant
HLA-B,5.7559094,1.4223421,8.61766433958903e-09,1.1682041944196225e-05,1.0,Significant
SLC25A6,5.7332187,0.782848,9.85425692765612e-09,1.288127349318363e-05,1.0,Not Sig
GSTP1,5.7105274,1.5367296,1.1262644715677604e-08,1.4214622732362621e-05,0.9782608695652174,Significant
RPL39,5.58951,0.40002233,2.2771147692957687e-08,2.525596293060437e-05,1.0,Not Sig
RPL27A,5.5290008,0.3232231,3.2205964205446755e-08,3.466972046716343e-05,1.0,Not Sig
PRKG1,5.4458013,4.4772024,5.1572715669977094e-08,4.840033246761106e-05,0.6956521739130435,Significant
PCLAF,5.4231105,3.1367822,5.857080904365172e-08,5.359375454516742e-05,0.782608695652174,Significant
ITGA2B,5.4004197,3.2709079,6.648523669070053e-08,5.935185727113001e-05,0.7391304347826086,Significant
GIHCG,5.385292,1.2867808,7.232701769323366e-08,6.302955177595346e-05,1.0,Significant
FABP5,5.332347,2.0981166,9.695144986352582e-08,8.252372131290485e-05,0.8913043478260869,Significant
TUBA1B,5.3210015,1.5969311,1.0319750819170363e-07,8.39362666072121e-05,0.9782608695652174,Significant
CD164,5.177293,1.3997481,2.2512858863146612e-07,0.00017160299200644815,0.9782608695652174,Significant
ATP5MPL,5.1508203,1.2591698,2.5934961065975874e-07,0.0001898491019951566,0.9782608695652174,Significant
RPL36A,5.135693,0.5437945,2.8110612866306675e-07,0.00020174049833719424,1.0,Not Sig
NAA38,5.0411477,1.3963206,4.627476312308134e-07,0.0003079459281941637,0.9782608695652174,Significant
CYTOR,5.037366,1.9011743,4.7198151699231425e-07,0.00030848206256135167,0.8695652173913043,Significant
RPLP1,5.0222387,0.32515413,5.107260819993084e-07,0.00032794886539046816,1.0,Not Sig
S100A6,4.9163485,1.4762392,8.817346752012538e-07,0.000546989336390527,0.9782608695652174,Significant
RPL37,4.825585,0.36538273,1.3959295394332088e-06,0.0008109907471872202,1.0,Not Sig
S100A4,4.765076,1.1577895,1.8878244291898128e-06,0.0010630194143504052,1.0,Significant
HLA-A,4.7575126,1.1201569,1.9599319556956585e-06,0.0010869010531881333,1.0,Significant
RPS15,4.734822,0.2704333,2.192478772100953e-06,0.001180101699083338,1.0,Not Sig
LST1,4.6591854,1.5574975,3.174630853109945e-06,0.00165992376935253,0.8695652173913043,Significant
COX7C,4.5986767,0.51174927,4.251832921914988e-06,0.002191849813732542,0.9782608695652174,Not Sig
MT-CO2,4.575986,0.57156146,4.739828774802393e-06,0.002409478791479755,1.0,Not Sig
RAN,4.5532947,1.4017323,5.281216338013754e-06,0.002612132421454614,0.9565217391304348,Significant
YBX1,4.545731,0.73357743,5.47448485505164e-06,0.0026716216023966012,0.9782608695652174,Not Sig
H2AFZ,4.45875,1.518281,8.243911235642775e-06,0.003819435381465331,0.9347826086956522,Significant
MIF,4.413368,0.86976415,1.0177475971858197e-05,0.004542753634707096,0.9782608695652174,Not Sig
PIEZO2,4.386895,3.0332704,1.1498004858470394e-05,0.005009981855058034,0.6304347826086957,Significant
KCNQ5,4.318823,1.6832147,1.5686360111545664e-05,0.0067545466640315625,0.8695652173913043,Significant
CALM2,4.3036957,0.75042325,1.6797236762527127e-05,0.007066616813163855,0.9347826086956522,Not Sig
HBD,4.2847867,1.8863417,1.8291465110829254e-05,0.007607794483198427,0.8478260869565217,Significant
RPS27,4.2658777,0.3122463,1.9911793230666515e-05,0.008097683822618057,1.0,Not Sig
POLR2L,4.2545323,1.9164091,2.0948653445744295e-05,0.008425732579864691,0.8043478260869565,Significant
RPL10,4.2356234,0.23693788,2.2791875196671553e-05,0.008874525788014634,1.0,Not Sig
GNAI1,4.2356234,2.2227833,2.2791875196671553e-05,0.008874525788014634,0.6956521739130435,Significant
PPA1,4.2053685,1.7184293,2.6065688441786806e-05,0.009937815236019155,0.8913043478260869,Significant
DUT,4.175114,1.3368006,2.9783654851730265e-05,0.011123587257430402,0.8478260869565217,Significant
ATF7IP2,4.159987,1.8140614,3.18265683875208e-05,0.011766507369208576,0.8260869565217391,Significant
RPS12,4.137296,0.25183278,3.514223720610895e-05,0.012862410239807937,1.0,Not Sig
RPL38,4.122169,0.32497266,3.753217561145573e-05,0.013601140193612783,0.9782608695652174,Not Sig
FREM1,4.084351,1.6118832,4.420019779572994e-05,0.015706518830305938,0.8695652173913043,Significant
LYPLA1,4.0767875,1.4956445,4.5662231130958886e-05,0.016070031938694482,0.8478260869565217,Significant
TPI1,4.054096,0.73448694,5.0328451985137275e-05,0.017378034633094428,0.9347826086956522,Not Sig
ATP5MF,4.0314054,1.2169007,5.5444265365814974e-05,0.018965565950039193,0.9130434782608695,Significant
CA2,4.0162783,4.087691,5.9124412472704035e-05,0.020037153897346668,0.5217391304347826,Significant
SNHG3,4.0087147,1.3845417,6.105010279974683e-05,0.020313589205213943,0.8913043478260869,Significant
TOMM22,4.0087147,1.2459981,6.105010279974683e-05,0.020313589205213943,0.8913043478260869,Significant
