names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
RPS26,8.062811,1.3808638,7.455962972869178e-16,1.364478503849924e-11,1.0,Significant
RPL36,7.6846304,1.011846,1.5343912135045035e-14,9.360042134246388e-11,1.0,Significant
B2M,7.38965,1.091013,1.472161756895259e-13,5.388259246412337e-10,1.0,Significant
PDLIM1,6.5576525,1.988704,5.466148794282129e-11,1.4290465144251444e-07,0.9782608695652174,Significant
HBB,6.482016,4.562768,9.050495809298793e-11,2.1767604010628033e-07,0.8260869565217391,Significant
XACT,5.8466725,2.921374,5.015029865254848e-09,7.342204323927707e-06,0.9130434782608695,Significant
LY6E,5.8315454,2.5232775,5.491635265141381e-09,7.730743936132295e-06,0.8695652173913043,Significant
HLA-B,5.7559094,1.4223421,8.61766433958903e-09,1.1682041944196225e-05,1.0,Significant
GSTP1,5.7105274,1.5367296,1.1262644715677604e-08,1.4214622732362621e-05,0.9782608695652174,Significant
PRKG1,5.4458013,4.4772024,5.1572715669977094e-08,4.840033246761106e-05,0.6956521739130435,Significant
PCLAF,5.4231105,3.1367822,5.857080904365172e-08,5.359375454516742e-05,0.782608695652174,Significant
ITGA2B,5.4004197,3.2709079,6.648523669070053e-08,5.935185727113001e-05,0.7391304347826086,Significant
GIHCG,5.385292,1.2867808,7.232701769323366e-08,6.302955177595346e-05,1.0,Significant
FABP5,5.332347,2.0981166,9.695144986352582e-08,8.252372131290485e-05,0.8913043478260869,Significant
TUBA1B,5.3210015,1.5969311,1.0319750819170363e-07,8.39362666072121e-05,0.9782608695652174,Significant
CD164,5.177293,1.3997481,2.2512858863146612e-07,0.00017160299200644815,0.9782608695652174,Significant
ATP5MPL,5.1508203,1.2591698,2.5934961065975874e-07,0.0001898491019951566,0.9782608695652174,Significant
NAA38,5.0411477,1.3963206,4.627476312308134e-07,0.0003079459281941637,0.9782608695652174,Significant
CYTOR,5.037366,1.9011743,4.7198151699231425e-07,0.00030848206256135167,0.8695652173913043,Significant
S100A6,4.9163485,1.4762392,8.817346752012538e-07,0.000546989336390527,0.9782608695652174,Significant
S100A4,4.765076,1.1577895,1.8878244291898128e-06,0.0010630194143504052,1.0,Significant
HLA-A,4.7575126,1.1201569,1.9599319556956585e-06,0.0010869010531881333,1.0,Significant
LST1,4.6591854,1.5574975,3.174630853109945e-06,0.00165992376935253,0.8695652173913043,Significant
RAN,4.5532947,1.4017323,5.281216338013754e-06,0.002612132421454614,0.9565217391304348,Significant
H2AFZ,4.45875,1.518281,8.243911235642775e-06,0.003819435381465331,0.9347826086956522,Significant
PIEZO2,4.386895,3.0332704,1.1498004858470394e-05,0.005009981855058034,0.6304347826086957,Significant
KCNQ5,4.318823,1.6832147,1.5686360111545664e-05,0.0067545466640315625,0.8695652173913043,Significant
HBD,4.2847867,1.8863417,1.8291465110829254e-05,0.007607794483198427,0.8478260869565217,Significant
POLR2L,4.2545323,1.9164091,2.0948653445744295e-05,0.008425732579864691,0.8043478260869565,Significant
GNAI1,4.2356234,2.2227833,2.2791875196671553e-05,0.008874525788014634,0.6956521739130435,Significant
PPA1,4.2053685,1.7184293,2.6065688441786806e-05,0.009937815236019155,0.8913043478260869,Significant
DUT,4.175114,1.3368006,2.9783654851730265e-05,0.011123587257430402,0.8478260869565217,Significant
ATF7IP2,4.159987,1.8140614,3.18265683875208e-05,0.011766507369208576,0.8260869565217391,Significant
FREM1,4.084351,1.6118832,4.420019779572994e-05,0.015706518830305938,0.8695652173913043,Significant
LYPLA1,4.0767875,1.4956445,4.5662231130958886e-05,0.016070031938694482,0.8478260869565217,Significant
ATP5MF,4.0314054,1.2169007,5.5444265365814974e-05,0.018965565950039193,0.9130434782608695,Significant
CA2,4.0162783,4.087691,5.9124412472704035e-05,0.020037153897346668,0.5217391304347826,Significant
SNHG3,4.0087147,1.3845417,6.105010279974683e-05,0.020313589205213943,0.8913043478260869,Significant
TOMM22,4.0087147,1.2459981,6.105010279974683e-05,0.020313589205213943,0.8913043478260869,Significant
ZDHHC2,3.9746785,2.3502362,7.047438865784715e-05,0.02282684158642357,0.6304347826086957,Significant
LGALS1,3.9330785,4.1183147,8.386478719173802e-05,0.026461509275903478,0.5217391304347826,Significant
IMPDH2,3.9179513,1.1283867,8.930470173463378e-05,0.02723867823491109,1.0,Significant
MAP3K20,3.8914788,2.5307546,9.96351104635717e-05,0.03013838576923296,0.5869565217391305,Significant
CYC1,3.8725698,1.501397,0.00010769384936609776,0.03178792403748826,0.782608695652174,Significant
MBOAT2,3.8044972,3.2660713,0.00014209250870757728,0.041275618342905045,0.5217391304347826,Significant
TMEM258,3.7818065,1.2903728,0.0001556944438587562,0.044174979377320435,0.9130434782608695,Significant
HMGN3,3.7515519,1.015351,0.0001757433422774434,0.049479862082282354,0.9565217391304348,Significant
CABLES1,-3.7818065,-3.2679112,0.0001556944438587562,0.044174979377320435,0.08695652173913043,Significant
ERP29,-3.8007154,-1.156454,0.00014427893050893836,0.041580733350847665,0.6739130434782609,Significant
PPP1R15A,-3.887697,-1.2683258,0.00010119986231802217,0.03036078820247483,0.5869565217391305,Significant
H1FX,-3.925515,-1.4329002,8.654436839340141e-05,0.027073593398007564,0.5869565217391305,Significant
BTD,-3.9519877,-1.6633409,7.750473588393622e-05,0.024883779281473242,0.3695652173913043,Significant
RAMP1,-4.001151,-28.908209,6.303507465731699e-05,0.02059952471011124,0.0,Significant
TSC22D3,-4.1902413,-2.0188353,2.7865775056966478e-05,0.010514590029484844,0.43478260869565216,Significant
HSD17B11,-4.2242775,-1.0611641,2.3970829945032152e-05,0.009235329966506545,0.8043478260869565,Significant
MBOAT7,-4.3036957,-3.3849275,1.6797236762527127e-05,0.007066616813163855,0.10869565217391304,Significant
KLF6,-4.432277,-3.2076666,9.324308643703573e-06,0.004213321242817216,0.17391304347826086,Significant
FOSB,-4.507913,-1.9127824,6.5468345617640805e-06,0.003111957036300352,0.3695652173913043,Significant
AMBRA1,-4.6780944,-1.6677395,2.895531150728127e-06,0.0015359324006927562,0.5869565217391305,Significant
RNF220,-4.746167,-1.1518434,2.073075651774182e-06,0.0011324871929938335,0.8478260869565217,Significant
DDAH2,-4.7726398,-1.3017521,1.8182694567311889e-06,0.0010398512560284101,0.8043478260869565,Significant
CRHBP,-4.8709664,-2.2959754,1.1105360369881625e-06,0.0006555924111258667,0.43478260869565216,Significant
RNF130,-4.874748,-1.1613555,1.0894720601140509e-06,0.0006537010962661373,0.9347826086956522,Significant
