,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
LINC00115,False,False,10,0.0057770074,99.42229924898902,10.0,True,0.008985620704343687,1.0778798776626213,2.0761096
AL645608.6,False,False,6,0.004043905,99.65337954939342,7.0,True,0.004615934907660871,1.0263554526089782,1.9490657
SAMD11,False,False,4,0.002310803,99.7689196995956,4.0,True,0.007757014621343259,2.1075082772081375,4.61487
TNFRSF18,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0020528954704465787,0.8629651885331774,1.5461934
TNFRSF4,False,False,23,0.01502022,98.67128827267476,26.0,True,0.021706534010642937,0.8922439698024536,1.6183863
CCDC27,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.001647633462544648,0.9966877403891757,1.8759137
CHD5,False,False,3,0.0017331023,99.8266897746967,3.0,True,0.0029423835928159957,0.872913262119103,1.5707223
UTS2,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0017306141964073625,0.6691309858674974,1.0682553
TNFRSF9,False,False,7,0.004621606,99.59560947429232,8.0,True,0.005067367883611293,0.7321303621739281,1.2235932
ERRFI1,False,False,2,0.002310803,99.8844598497978,4.0,True,0.010701474915985212,2.7519341312697416,6.2038345
SLC2A5,False,False,97,0.06643558,94.39630271519353,115.0,True,0.087507981948151,1.2193524617263238,2.4249394
GPR157,False,False,28,0.016753322,98.38243789716927,29.0,True,0.022005952770538618,0.7462758291203445,1.2584717
RBP7,False,False,4,0.00751011,99.7689196995956,13.0,True,0.016908977182334806,3.284379454468616,7.516688
LRRC38,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0013732782388241767,0.8144112801551957,1.4264737
AL357873.1,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.006331826310388143,1.25710360908474,2.5180225
TMEM51,False,False,23,0.013864818,98.67128827267476,24.0,True,0.01815880455358969,0.8040070990171732,1.40082
AL121992.1,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.004126293469935794,0.7129902842116429,1.1763994
UQCRHL,False,False,69,0.041594453,96.01386481802426,72.0,True,0.04278379729863273,0.8846009961757453,1.599541
PADI2,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0027728069121462297,1.5177706999961078,3.1607509
PAX7,False,False,2,0.002310803,99.8844598497978,4.0,True,0.002433297282048518,0.6934252278747125,1.1281577
TMCO4,False,False,131,0.08492201,92.43212016175622,147.0,True,0.09304826051427027,0.7867565028638973,1.3582852
CDA,False,False,8,0.004621606,99.53783939919121,8.0,True,0.008728398348258205,1.103770274042779,2.139948
AL031005.1,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0013714213271453536,0.8130573057307928,1.4231352
ALPL,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0014841171867600133,0.8920860762662788,1.6179969
AL031428.1,False,False,271,0.18370883,84.34430964760254,318.0,True,0.17517872931148631,0.6672815113502335,1.0636951
ID3,False,False,21,0.023685731,98.78682842287695,41.0,True,0.038359691460288094,2.0246983655819757,4.410685
AL050344.1,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.003278014144493871,1.0441783376546785,1.9930116
AL031432.4,False,False,13,0.00751011,99.24898902368572,13.0,True,0.012325054998013668,0.7007748990300673,1.1462798
CRYBG2,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0036017532742810407,1.341360181331965,2.7257745
TRNP1,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0018727227020539595,1.1248537359535393,2.1919334
CD164L2,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0025855219985247003,1.4477442649412104,2.9880865
IFI6,False,False,595,0.56268054,65.6268053148469,974.0,True,0.43556665582036175,0.7198855773098541,1.334358
AL020997.4,False,False,4,0.002310803,99.7689196995956,4.0,True,0.0032160170244652834,0.7318613934113599,1.22293
ATP5IF1,False,False,1273,5.909301,26.458694396302718,10229.0,True,1.5044565856302214,1.9891326278461434,1.9470723
SESN2,False,False,38,0.023685731,97.80473714615829,41.0,True,0.026440619498132725,0.695656283296486,1.1336589
AL136115.3,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0012383265275175712,0.7109039124261861,1.171255
FAM167B,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.0034809973598160637,0.7395039085047583,1.2417742
GJA4,False,False,8,0.004621606,99.53783939919121,8.0,True,0.009970011658257763,1.9585879830510515,4.2476764
POU3F1,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0016374382742049202,0.99047568781261,1.8605967
