,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
MIR1302-2HG,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
FAM138A,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
OR4F5,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL627309.1,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.0005509089255177862,-0.7874742013698764,-2.5233042
AL627309.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL627309.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL627309.5,False,False,6,0.0034662045,99.65337954939342,6.0,False,0.0037618145540062185,0.060759031060738974,-0.4318108
AL627309.4,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AP006222.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL732372.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
OR4F29,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC114498.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
OR4F16,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL669831.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC01409,False,False,67,0.040439054,96.12940496822647,70.0,False,0.040137687085235095,0.4024562289097532,0.41071385
FAM87B,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC01128,False,False,179,0.11554015,89.65915655690353,200.0,False,0.10155831463907986,0.21571141126311433,-0.049743865
LINC00115,False,False,10,0.0057770074,99.42229924898902,10.0,True,0.008985620704343687,1.0778798776626213,2.0761096
FAM41C,False,False,36,0.020797227,97.92027729636048,36.0,False,0.021180574099918137,0.27566803816551805,0.09809152
AL645608.6,False,False,6,0.004043905,99.65337954939342,7.0,True,0.004615934907660871,1.0263554526089782,1.9490657
AL645608.2,False,False,3,0.0017331023,99.8266897746967,3.0,False,0.001453831541969035,-0.21451691839886514,-1.1105603
AL645608.4,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02593,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
SAMD11,False,False,4,0.002310803,99.7689196995956,4.0,True,0.007757014621343259,2.1075082772081375,4.61487
NOC2L,False,False,461,0.35701907,73.36799537839399,618.0,False,0.26614493562992697,0.35583043633471295,-0.010854188
KLHL17,False,False,3,0.0017331023,99.8266897746967,3.0,False,0.0010302496170740238,-0.4636097581012645,-1.7247498
PLEKHN1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
PERM1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL645608.7,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
HES4,False,False,4,0.002310803,99.7689196995956,4.0,False,0.0018451844465891792,0.375993951511182,0.3454657
ISG15,False,False,738,0.712305,57.36568457538995,1233.0,False,0.5130120363094323,0.5439824000822528,0.684382
AL645608.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.00040774497288421056,-0.4003856375424041,-1.5688578
AGRN,False,False,6,0.0034662045,99.65337954939342,6.0,False,0.0037472928142850137,0.6062684742765129,0.91325486
AL645608.5,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL645608.8,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
RNF223,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
C1orf159,False,False,100,0.06239168,94.22299248989023,108.0,False,0.04321201612829916,-0.1111315087615063,-0.85564226
AL390719.3,False,False,15,0.008665511,99.13344887348353,15.0,False,0.01171461099342596,0.5161350591123822,0.6910124
LINC01342,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
AL390719.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TTLL10-AS1,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0007157939824010857,0.16251889404771,-0.18090095
TTLL10,False,False,21,0.012131716,98.78682842287695,21.0,False,0.01448671977301313,0.30311251131645245,0.16576152
TNFRSF18,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0020528954704465787,0.8629651885331774,1.5461934
TNFRSF4,False,False,23,0.01502022,98.67128827267476,26.0,True,0.021706534010642937,0.8922439698024536,1.6183863
SDF4,False,False,493,0.3801271,71.51935297515887,658.0,False,0.2748234124614748,0.0709343679836144,-1.0635674
B3GALT6,False,False,114,0.07047949,93.41421143847487,122.0,False,0.0555831785433846,0.08126126038344952,-0.38125834
C1QTNF12,False,False,9,0.0057770074,99.48006932409012,10.0,False,0.0024526242759158757,-0.22592466777155504,-1.1386884
AL162741.1,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.0009231928631231312,-0.19720964761549653,-1.0678856
UBE2J2,False,False,503,0.42576545,70.94165222414789,737.0,False,0.27451198112691455,-0.014965551201401174,-1.3809743
LINC01786,False,False,10,0.0057770074,99.42229924898902,10.0,False,0.005470249127390501,-0.041212626465974865,-0.6832429
SCNN1D,False,False,7,0.004043905,99.59560947429232,7.0,False,0.003230381605477475,-0.04420405130374432,-0.6906189
ACAP3,False,False,104,0.06296938,93.99191218948584,109.0,False,0.06196808736557071,0.33688996294809187,0.24904676
PUSL1,False,False,156,0.10167533,90.98786828422877,176.0,False,0.07039185056873484,-0.12302635703717256,-0.88497144
INTS11,False,False,511,0.38532642,70.4794916233391,667.0,False,0.2980419354681468,0.2157344142246835,-0.5285199
AL139287.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CPTP,False,False,109,0.06816869,93.70306181398036,118.0,False,0.04988741914832174,-0.029896793226121373,-0.6553414
TAS1R3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
DVL1,False,False,26,0.01502022,98.49797804737146,26.0,False,0.011700730685990793,0.037457759340064074,-0.48926488
MXRA8,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AURKAIP1,False,False,940,1.3558637,45.696129404968225,2347.0,False,0.6949115369888152,0.28682989813066984,-0.4290737
CCNL2,False,False,279,0.18197574,83.88214904679376,315.0,False,0.15612133832746483,0.24968358968015275,0.034021523
MRPL20-AS1,False,False,134,0.08318891,92.25880993645292,144.0,False,0.06530710687651604,0.09413937104039441,-0.3495047
MRPL20,False,False,977,1.5863663,43.55863662622761,2746.0,False,0.7414388111293018,0.3911307228842691,-0.13051188
AL391244.2,False,False,9,0.0057770074,99.48006932409012,10.0,False,0.003628667964292442,0.6337518866759886,0.98102087
