names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
Rn18s-rs5,6.365014,1.5323887,1.9527173077670054e-10,7.304417403216579e-06,1.0,Significant
Mir6236,6.260055,2.785249,3.8484136579353604e-10,7.304417403216579e-06,1.0,Significant
Taco1,3.5086298,5.484901,0.0004504215384219146,1.0,0.56,Not Sig
Nfat5,3.1787586,1.5117375,0.001479072465179165,1.0,0.96,Not Sig
Acsbg1,3.1412733,1.8421255,0.0016821504912835025,1.0,0.84,Not Sig
Fgf13,2.916361,1.8733512,0.0035414046082737484,1.0,0.84,Not Sig
Zfand3,2.4515426,0.9440211,0.014224536647855572,1.0,0.76,Not Sig
Hoxb3,2.4065602,2.7215433,0.01610355319101486,1.0,0.48,Not Sig
Tmem164,2.3390865,1.0439737,0.019330958625988295,1.0,0.8,Not Sig
Trpm3,2.2641158,1.1483767,0.023566996374076013,1.0,0.72,Not Sig
Dcdc2a,2.2116363,0.42389235,0.026991808714508746,1.0,0.92,Not Sig
Auts2,2.2116363,0.64412606,0.026991808714508746,1.0,1.0,Not Sig
Bltp1,2.189145,2.0952528,0.028586300361267632,1.0,0.48,Not Sig
Smg6,2.1666539,1.9639416,0.030261260600464166,1.0,0.48,Not Sig
Anks1,2.1516597,2.4997072,0.03142416859114222,1.0,0.44,Not Sig
Epb41,2.0467007,1.3181916,0.0406874840642599,1.0,0.52,Not Sig
Ddx6,2.0317066,1.6721653,0.04218337551582647,1.0,0.52,Not Sig
Sorcs2,2.0242095,1.1569484,0.042948605921431925,1.0,0.76,Not Sig
Lrp2,2.0167124,1.0395914,0.04372553769983205,1.0,0.72,Not Sig
Rnpep,1.9417417,2.8108704,0.05216838322030707,1.0,0.36,Not Sig
Map3k1,1.9192505,2.0119028,0.05495264693029214,1.0,0.44,Not Sig
Ank3,1.9192505,0.46543437,0.05495264693029214,1.0,1.0,Not Sig
Tshz2,1.9192505,0.36419907,0.05495264693029214,1.0,0.88,Not Sig
Tcf7l2,1.9117534,1.4730661,0.05590783567061406,1.0,0.6,Not Sig
Rnf43,1.8517768,1.1277404,0.06405788172622076,1.0,0.56,Not Sig
Mcf2l,1.8067944,2.0381272,0.07079434862647103,1.0,0.4,Not Sig
Pex14,1.7918003,2.6559658,0.07316497443021798,1.0,0.36,Not Sig
Adamts6,1.7768061,1.7401685,0.0756001527351536,1.0,0.44,Not Sig
Neo1,1.7543149,2.0628347,0.07937657183914651,1.0,0.4,Not Sig
Chd2,1.7318237,1.4631453,0.08330496801528886,1.0,0.44,Not Sig
Med13,1.7318237,0.6698145,0.08330496801528886,1.0,0.56,Not Sig
Igf1r,1.7018354,0.5331769,0.08878623770468314,1.0,0.76,Not Sig
Lars2,1.7018354,1.1363088,0.08878623770468314,1.0,0.52,Not Sig
Celf1,1.6943383,1.4139812,0.0902010207463152,1.0,0.48,Not Sig
Camk1d,1.6793442,0.9837059,0.09308499425987538,1.0,0.6,Not Sig
Plekha7,1.6718471,1.2965971,0.09455448385197908,1.0,0.52,Not Sig
Atp1b1,1.656853,1.8317158,0.09754921515414929,1.0,0.4,Not Sig
Pbx1,1.6418588,0.61715835,0.10061927525420397,1.0,0.92,Not Sig
Ccny,1.6418588,1.5646814,0.10061927525420397,1.0,0.44,Not Sig
Bicc1,1.5968764,0.72992575,0.11029327431964639,1.0,0.76,Not Sig
Ldlrad4,1.5893793,0.39243156,0.11197479187821745,1.0,0.8,Not Sig
Kif21a,1.5818822,1.8633276,0.11367646563482098,1.0,0.4,Not Sig
Tenm4,1.5743852,0.8654308,0.11539844041223547,1.0,0.56,Not Sig
Glis3,1.5743852,0.51203465,0.11539844041223547,1.0,0.88,Not Sig
Aldh1a1,1.5743852,1.8525845,0.11539844041223547,1.0,0.4,Not Sig
Map4k4,1.5668881,2.7464757,0.11714086046535988,1.0,0.32,Not Sig
Etl4,1.551894,0.4217533,0.12068761039134762,1.0,0.76,Not Sig
Agps,1.551894,3.401146,0.12068761039134762,1.0,0.28,Not Sig
Setbp1,1.5069115,0.80744094,0.13183334906014674,1.0,0.56,Not Sig
Nipbl,1.4844203,0.94788116,0.13769746279148654,1.0,0.56,Not Sig
Sbf2,1.4844203,0.9048817,0.13769746279148654,1.0,0.56,Not Sig
Rabep1,1.4844203,1.3892735,0.13769746279148654,1.0,0.4,Not Sig
Camta1,1.4619291,1.0475183,0.14376065463795523,1.0,0.52,Not Sig
Cdk8,1.4469349,0.64882696,0.14791515695381716,1.0,0.8,Not Sig
