names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
Mir6236,22.065897,2.540011,6.722238274676455e-108,1.9138548479917601e-103,1.0,Significant
Rn18s-rs5,20.76955,1.49728,8.162033643241003e-96,9.295087153595719e-92,1.0,Significant
Taco1,15.841259,4.670109,1.6155336101216762e-56,1.5331683215656396e-52,0.7126865671641791,Significant
Camk1d,10.249566,1.1311195,1.1887560029175531e-24,2.9429980679186257e-21,0.9514925373134329,Significant
Slit3,9.478762,2.4579968,2.5731788549654042e-21,5.052392316571899e-18,0.5634328358208955,Significant
Ebf1,7.7521896,1.6013752,9.032149150201505e-15,1.0714575099200498e-11,0.6753731343283582,Significant
Npr3,6.602333,2.5946074,4.047366877744862e-11,3.408929486246402e-08,0.3694029850746269,Significant
Naaladl2,6.591112,2.729034,4.3654430142393556e-11,3.568780226620917e-08,0.35074626865671643,Significant
Fam13a,5.9696345,1.381093,2.3778533042984497e-09,1.471710271739761e-06,0.5410447761194029,Significant
Lars2,5.737814,0.8691491,9.590645175614094e-09,5.406939870739031e-06,0.7164179104477612,Not Sig
Malat1,5.4184437,0.22605334,6.012011310803916e-08,2.976782052595528e-05,1.0,Not Sig
Zfand3,5.366284,0.52776814,8.037541647962476e-08,3.8785225337002654e-05,0.7238805970149254,Not Sig
Zbtb16,5.333237,1.2053118,9.647723483079526e-08,4.577925190416927e-05,0.5373134328358209,Significant
Mageb18,5.274172,4.2835855,1.3335676431662646e-07,6.0265615213912915e-05,0.23880597014925373,Significant
Ccnd3,5.082303,0.92886907,3.7288546274015163e-07,0.0001608520540445983,0.6156716417910447,Not Sig
Eepd1,4.9387717,1.6031009,7.861622944884115e-07,0.0003066086795237304,0.3843283582089552,Significant
Dock2,4.9316196,0.5327845,8.155058239219383e-07,0.0003158892321084292,0.9216417910447762,Not Sig
Cdk8,4.9266872,1.0503483,8.363543495480465e-07,0.0003217760339028062,0.5149253731343284,Significant
Kansl1,4.849496,0.5456555,1.2377563763333799e-06,0.00043238702959999374,0.746268656716418,Not Sig
Hexb,4.699429,1.4569522,2.608900988254328e-06,0.0008049330081014627,0.3843283582089552,Significant
Celf2,4.4361644,0.4236011,9.157602507474785e-06,0.002379712795656434,0.8171641791044776,Not Sig
Lrmda,4.3990483,0.6893191,1.0872670327355484e-05,0.0027638425049551275,0.7164179104477612,Not Sig
Elmo1,4.271547,0.45882162,1.9412190113130872e-05,0.004663922013636224,0.75,Not Sig
Ghr,4.22025,0.40541792,2.4403141738111265e-05,0.005671588953917525,0.917910447761194,Not Sig
Sgcd,4.1354136,1.0145067,3.5431600771195656e-05,0.007911806978480988,0.4626865671641791,Significant
Auts2,4.0638943,1.0204508,4.826068293495719e-05,0.010330870477441344,0.44776119402985076,Significant
Fmnl2,3.981154,1.5001549,6.858149929863077e-05,0.01354755089458841,0.3283582089552239,Significant
Mycbp2,3.863394,0.40951592,0.00011182247153246599,0.020149630859272613,0.6716417910447762,Not Sig
Utrn,3.7230682,0.35952908,0.0001968162687031396,0.03208489134249847,0.7611940298507462,Not Sig
Rora,3.616406,0.8540979,0.00029872172106685613,0.04418055459550092,0.44402985074626866,Not Sig
Sik2,3.565356,0.5427873,0.00036336251317596146,0.05223909241111611,0.6194029850746269,Not Sig
Runx1,3.466709,0.4359099,0.0005268721655194404,0.06960702546831196,0.7350746268656716,Not Sig
Aldh1a1,3.46116,1.3412495,0.0005378530682802957,0.07072954171119704,0.29850746268656714,Not Sig
Zbtb20,3.4108498,0.30043924,0.0006476072701787728,0.08176364871673947,0.8544776119402985,Not Sig
Pik3r1,3.3574572,0.58972436,0.0007866294136941723,0.09292835154597481,0.5410447761194029,Not Sig
Fyn,3.3188615,0.8582966,0.0009038527445119131,0.1052480145710692,0.44402985074626866,Not Sig
Dyrk1a,3.2818687,0.6763563,0.0010312160393131386,0.11490894813019457,0.4962686567164179,Not Sig
Maml2,3.0913563,0.7843305,0.001992443741210844,0.19180069752129866,0.45149253731343286,Not Sig
Wwox,3.024153,0.6171159,0.0024933036552713503,0.22606879527835344,0.503731343283582,Not Sig
Dennd4a,3.0017107,0.8867417,0.0026846718095786958,0.23848345945276211,0.4141791044776119,Not Sig
Bmper,2.991476,1.8674625,0.002776323137143784,0.24624083450483522,0.20149253731343283,Not Sig
Ankrd44,2.912435,0.33313432,0.003586228410900753,0.2987788523878879,0.753731343283582,Not Sig
Lpgat1,2.891349,0.9101833,0.003835916920756211,0.3142747415608336,0.3694029850746269,Not Sig
Tenm4,2.8750725,0.57923794,0.004039349054613377,0.32578551631549624,0.5746268656716418,Not Sig
Arhgap24,2.816254,0.8774081,0.004858723964660624,0.36937329942822505,0.35074626865671643,Not Sig
Egfr,2.790359,1.3621341,0.005264961204820469,0.38727084320755695,0.23880597014925373,Not Sig
Art3,2.7190864,1.1323676,0.006546248715858839,0.4518181189451129,0.27611940298507465,Not Sig
Ptprm,2.6504035,0.8534821,0.008039571652201231,0.5202059652818072,0.332089552238806,Not Sig
Shb,2.6460876,1.5349547,0.008142873225882913,0.5245060456504513,0.22014925373134328,Not Sig
Cachd1,2.5177228,0.8255678,0.01181161993541828,0.6816625396352992,0.3283582089552239,Not Sig
Gm54318,2.506132,3.1230586,0.012206008581310436,0.6960579185574344,0.12686567164179105,Not Sig
Tcf7l2,2.4904716,0.8437381,0.01275736792921085,0.7121738110364656,0.35074626865671643,Not Sig
Pparg,2.4792504,0.64790326,0.01316587994440635,0.725027437054586,0.4253731343283582,Not Sig
Dst,2.461494,0.73872197,0.013835970401471779,0.7496041775739339,0.35447761194029853,Not Sig
Tshz2,2.4391751,0.83525807,0.014720833657675767,0.7767543797419246,0.332089552238806,Not Sig
Cdk14,2.4007027,0.3763433,0.016363625575411538,0.8252977890961102,0.5708955223880597,Not Sig
Slc8a1,2.3626003,0.8083936,0.018147234373645273,0.8809221419179329,0.3619402985074627,Not Sig
Esyt2,2.3564348,0.60661227,0.01845130828576258,0.8896155335305733,0.4216417910447761,Not Sig
Slc9a7,2.3505158,1.3587368,0.018747405102031486,0.9008405011939029,0.20149253731343283,Not Sig
Lrba,2.32943,0.5661661,0.019836292332572957,0.9307001372719503,0.43656716417910446,Not Sig
Slc24a3,2.3113036,0.88482434,0.0208160872856951,0.9608398990212212,0.2835820895522388,Not Sig
Pde4d,2.2935472,0.9053579,0.021816522434730718,0.990633655467306,0.2873134328358209,Not Sig
Sox5,2.2614868,0.60459554,0.023729126586098787,1.0,0.3805970149253731,Not Sig
