names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
Mir6236,22.065897,2.540011,6.722238274676455e-108,1.9138548479917601e-103,1.0,Significant
Rn18s-rs5,20.76955,1.49728,8.162033643241003e-96,9.295087153595719e-92,1.0,Significant
Taco1,15.841259,4.670109,1.6155336101216762e-56,1.5331683215656396e-52,0.7126865671641791,Significant
Camk1d,10.249566,1.1311195,1.1887560029175531e-24,2.9429980679186257e-21,0.9514925373134329,Significant
Slit3,9.478762,2.4579968,2.5731788549654042e-21,5.052392316571899e-18,0.5634328358208955,Significant
Ebf1,7.7521896,1.6013752,9.032149150201505e-15,1.0714575099200498e-11,0.6753731343283582,Significant
Npr3,6.602333,2.5946074,4.047366877744862e-11,3.408929486246402e-08,0.3694029850746269,Significant
Naaladl2,6.591112,2.729034,4.3654430142393556e-11,3.568780226620917e-08,0.35074626865671643,Significant
Fam13a,5.9696345,1.381093,2.3778533042984497e-09,1.471710271739761e-06,0.5410447761194029,Significant
Zbtb16,5.333237,1.2053118,9.647723483079526e-08,4.577925190416927e-05,0.5373134328358209,Significant
Mageb18,5.274172,4.2835855,1.3335676431662646e-07,6.0265615213912915e-05,0.23880597014925373,Significant
Eepd1,4.9387717,1.6031009,7.861622944884115e-07,0.0003066086795237304,0.3843283582089552,Significant
Cdk8,4.9266872,1.0503483,8.363543495480465e-07,0.0003217760339028062,0.5149253731343284,Significant
Hexb,4.699429,1.4569522,2.608900988254328e-06,0.0008049330081014627,0.3843283582089552,Significant
Sgcd,4.1354136,1.0145067,3.5431600771195656e-05,0.007911806978480988,0.4626865671641791,Significant
Auts2,4.0638943,1.0204508,4.826068293495719e-05,0.010330870477441344,0.44776119402985076,Significant
Fmnl2,3.981154,1.5001549,6.858149929863077e-05,0.01354755089458841,0.3283582089552239,Significant
Acly,-3.5833592,-1.6076609,0.0003392036496262307,0.049397941210657804,0.07835820895522388,Significant
Lman2,-3.5882916,-1.8686656,0.0003328519551842685,0.04859723892345495,0.048507462686567165,Significant
Mettl7a1,-3.5993893,-3.1443367,0.0003189653023894492,0.046689468594749685,0.014925373134328358,Significant
Plxna4,-3.6034586,-1.3730183,0.000314010830913496,0.04608270804908601,0.1044776119402985,Significant
Ap2b1,-3.6046917,-1.0311186,0.0003125237588558813,0.045982985408301646,0.17537313432835822,Significant
Pepd,-3.6177623,-1.3085274,0.0002971609982067985,0.044064178122118006,0.11194029850746269,Significant
Rpl35a,-3.6178858,-2.6653368,0.0002970194936690203,0.044064178122118006,0.033582089552238806,Significant
Rhoh,-3.619982,-1.3191335,0.00029462355172375597,0.04391664832121044,0.10074626865671642,Significant
Pnpla3,-3.6213384,-1.4528348,0.0002930828959649285,0.043885259525913836,0.10820895522388059,Significant
Gm2245,-3.6226947,-2.7144086,0.0002915497893183574,0.043885259525913836,0.033582089552238806,Significant
Snhg7,-3.6270106,-3.9502954,0.0002867215542119494,0.043305602170776156,0.007462686567164179,Significant
Hnrnpa0,-3.6302166,-2.2876666,0.00028318347000487985,0.0428849733126273,0.03731343283582089,Significant
Rpl18a,-3.6320662,-3.6144862,0.0002811609184571184,0.042692223620978076,0.014925373134328358,Significant
Rpl22,-3.6418076,-2.0006254,0.0002707303271418288,0.04121833036840341,0.05223880597014925,Significant
Rpl26,-3.6434107,-3.0069816,0.0002690490530997476,0.04107217729906898,0.018656716417910446,Significant
Fam111a,-3.6468632,-1.4559216,0.0002654610324504844,0.04063337808807267,0.10074626865671642,Significant
Cpeb4,-3.6559882,-1.0963563,0.0002561931510927351,0.03932046958590682,0.13805970149253732,Significant
Cfl1,-3.6574678,-2.2903953,0.0002547191511691832,0.039199900504660705,0.041044776119402986,Significant
Blnk,-3.6574678,-1.6508213,0.0002547191511691832,0.039199900504660705,0.07462686567164178,Significant
Angptl4,-3.6652365,-2.690551,0.00024711025460039733,0.03844454920000334,0.029850746268656716,Significant
Arglu1,-3.6744845,-1.0554725,0.00023833007699137002,0.0372160708350467,0.15298507462686567,Significant
Purb,-3.6762109,-1.1299868,0.00023672387805622714,0.037133042260054074,0.13432835820895522,Significant
Hspa4,-3.6808965,-1.1593124,0.0002324152445955247,0.036659159120536765,0.13805970149253732,Significant
Rab31,-3.6887884,-1.125061,0.00022532453385944116,0.035639456340251216,0.15298507462686567,Significant
Tmed2,-3.6943374,-1.5873159,0.00022046101329347513,0.03496732745945339,0.06716417910447761,Significant
Mfhas1,-3.7112305,-1.5106984,0.0002062540882547707,0.032989646177850836,0.09328358208955224,Significant
Rpl30,-3.712587,-2.2220883,0.00020515149525316166,0.032905721947071205,0.048507462686567165,Significant
Oip5os1,-3.7128336,-1.2440401,0.0002049516195933706,0.032905721947071205,0.11194029850746269,Significant
Gm15261,-3.7175193,-4.528502,0.00020118856281492182,0.03245291205451689,0.007462686567164179,Significant
Fyco1,-3.7180126,-1.838564,0.00020079624991411378,0.03245291205451689,0.0708955223880597,Significant
Fam168b,-3.7224517,-1.2319957,0.00019729763298065116,0.03208489134249847,0.1044776119402985,Significant
Psma3,-3.7308366,-1.307278,0.00019084486766046238,0.031226717268547092,0.12313432835820895,Significant
Timp2,-3.734043,-2.136845,0.0001884304678211313,0.03092051662306351,0.05223880597014925,Significant
Dhrs3,-3.7476068,-1.131726,0.00017852985224215106,0.0295513613852335,0.1455223880597015,Significant
Slc38a2,-3.7525392,-1.2362932,0.00017505250020400547,0.029060246105295263,0.11194029850746269,Significant
Lgals3,-3.7534022,-1.7689811,0.00017445055090574074,0.029044996547145565,0.0708955223880597,Significant
Ctss,-3.7538955,-1.1919914,0.00017410745443426317,0.029044996547145565,0.15671641791044777,Significant
Tut7,-3.754512,-1.0034055,0.00017367947622826455,0.029044996547145565,0.17537313432835822,Significant
Tmem176b,-3.7638836,-3.2118883,0.00016729480976097327,0.028100099594689024,0.026119402985074626,Significant
Atp6v0c,-3.7679527,-3.0337024,0.00016459184603766593,0.02772788255985425,0.026119402985074626,Significant
mt-Nd3,-3.768076,-2.2825766,0.00016451058302503584,0.02772788255985425,0.041044776119402986,Significant
Rps15a,-3.7686925,-2.048949,0.000164104833872226,0.02772788255985425,0.048507462686567165,Significant
4732471J01Rik,-3.771652,-1.7129861,0.00016217031050373273,0.02756459597132252,0.0708955223880597,Significant
Arhgdib,-3.788792,-1.7409685,0.00015138160936770288,0.02580784496708494,0.06716417910447761,Significant
Rps28,-3.7908883,-2.3637414,0.00015010950340029903,0.025667823522872155,0.03731343283582089,Significant
