names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
Pikfyve,2.8571763,3.4776452,0.004274282771461939,1.0,1.0,Not Sig
Mir6236,2.753059,1.9947537,0.00590412701621446,1.0,1.0,Not Sig
Fbxo38,2.7094748,4.3209076,0.00673898101592813,1.0,1.0,Not Sig
Zbtb46,2.6707335,4.3893943,0.007568571151666743,1.0,1.0,Not Sig
Cyth1,2.6610482,3.3263245,0.007789781627574309,1.0,1.0,Not Sig
Zfp36l1,2.6368349,3.1412404,0.008368357646869674,1.0,1.0,Not Sig
Xpo4,2.5980935,3.9127648,0.009374298691810548,1.0,1.0,Not Sig
Dpy19l4,2.5787227,3.693964,0.009916634732015669,1.0,1.0,Not Sig
Vrk1,2.5254533,3.776582,0.011554912420089195,1.0,1.0,Not Sig
Sos2,2.515768,3.447487,0.011877333873188277,1.0,1.0,Not Sig
Tnks2,2.4915547,3.202662,0.012718540333446708,1.0,1.0,Not Sig
Inpp5d,2.4818692,2.506459,0.013069520514344006,1.0,1.0,Not Sig
Tbc1d23,2.4624987,3.5150666,0.013797270854394165,1.0,1.0,Not Sig
Akap7,2.457656,3.447983,0.013984708336916896,1.0,1.0,Not Sig
Nfat5,2.4528131,3.1358972,0.01417438995287076,1.0,1.0,Not Sig
Chchd3,2.4382854,3.0047376,0.014757124071596626,1.0,1.0,Not Sig
Gm26542,2.4237573,3.2588763,0.015360870233485431,1.0,1.0,Not Sig
Sec24b,2.4140718,3.3630261,0.015775349449841596,1.0,1.0,Not Sig
Rpl41,2.4140718,3.3223093,0.015775349449841596,1.0,1.0,Not Sig
Slc7a8,2.3898585,3.100837,0.016854863752724106,1.0,1.0,Not Sig
Litaf,2.3801732,3.3108866,0.01730450304993154,1.0,1.0,Not Sig
Bmp2k,2.370488,2.4130776,0.017764628106434182,1.0,1.0,Not Sig
Xpr1,2.3511171,3.1290474,0.018717139583908086,1.0,1.0,Not Sig
Pmp22,2.336589,2.7273517,0.019460557630548356,1.0,1.0,Not Sig
Ccdc88a,2.322061,2.9760132,0.020229644509247188,1.0,1.0,Not Sig
Pnisr,2.293005,2.5646586,0.021847711628372818,1.0,1.0,Not Sig
Tle4,2.2881625,2.7256935,0.022128064114269274,1.0,1.0,Not Sig
Dcaf5,2.2736344,3.1119864,0.02298797690133881,1.0,1.0,Not Sig
Nktr,2.271213,2.4969342,0.0231340824838941,1.0,1.0,Not Sig
Lyn,2.2639492,2.3725529,0.02357724775942185,1.0,1.0,Not Sig
Akap9,2.2591064,3.1405952,0.023876767613506992,1.0,1.0,Not Sig
Dennd1a,2.242157,1.6596259,0.02495122449442142,1.0,1.0,Not Sig
Synj1,2.2252078,2.6920514,0.026067298867639893,1.0,1.0,Not Sig
Sec14l1,2.2106798,3.116591,0.02705802702505701,1.0,1.0,Not Sig
Apc,2.1816237,2.7834063,0.029137320435204558,1.0,1.0,Not Sig
Dnajc13,2.1331968,2.341061,0.032908575222204695,1.0,1.0,Not Sig
Lpp,2.1307757,2.0899856,0.033107634269826755,1.0,1.0,Not Sig
P2ry6,2.1235116,2.7347734,0.03371100599012294,1.0,1.0,Not Sig
Myo1f,2.1138263,2.902518,0.03453011105444623,1.0,1.0,Not Sig
Man1a,2.0871916,2.2790368,0.03687082358435,1.0,1.0,Not Sig
Taok3,2.075085,2.4716704,0.03797867026407534,1.0,1.0,Not Sig
Pura,2.0653994,2.854567,0.03888521390809081,1.0,1.0,Not Sig
Cep350,2.0653994,2.5263665,0.03888521390809081,1.0,1.0,Not Sig
Ptpro,2.0653994,2.8450277,0.03888521390809081,1.0,1.0,Not Sig
Zswim6,2.0653994,1.7436712,0.03888521390809081,1.0,1.0,Not Sig
Blvrb,2.0653994,2.4960623,0.03888521390809081,1.0,1.0,Not Sig
Prdm2,2.0557141,2.630976,0.0398100745995121,1.0,1.0,Not Sig
Snx2,2.0557141,1.8535452,0.0398100745995121,1.0,1.0,Not Sig
Arid1b,2.041186,1.8290672,0.04123232668015837,1.0,1.0,Not Sig
