names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Significant
Mir6236,54.957867,2.91822,0.0,0.0,0.9993093922651933,Significant
Rn18s-rs5,53.95858,1.90522,0.0,0.0,1.0,Significant
Dcdc2a,45.93521,5.0079727,0.0,0.0,0.914364640883978,Significant
Glis3,44.985634,4.558928,0.0,0.0,0.9095303867403315,Significant
Adgrg2,43.803394,3.6583037,0.0,0.0,0.9212707182320442,Significant
Pkhd1,43.75359,4.7193627,0.0,0.0,0.8715469613259669,Significant
Ank3,42.59132,4.4655347,0.0,0.0,0.8922651933701657,Significant
Taco1,41.340046,4.0953245,0.0,0.0,0.7907458563535912,Significant
Esr1,41.279156,2.8812888,0.0,0.0,0.9350828729281768,Significant
Nfat5,39.953484,2.8420084,0.0,0.0,0.8784530386740331,Significant
Esrrg,38.764126,3.7003329,0.0,0.0,0.8459944751381215,Significant
Adcy8,36.850323,3.8687923,2.8900188682608574e-297,3.226677732894931e-294,0.81353591160221,Significant
Bicc1,36.576664,3.7177167,6.721545205491521e-293,7.360221260497936e-290,0.7651933701657458,Significant
Etl4,36.51267,3.8472896,6.9805010115634295e-292,7.499560530177986e-289,0.761049723756906,Significant
Slc25a21,36.491386,3.873292,1.5188332606874131e-291,1.601553420311148e-288,0.7707182320441989,Significant
Igf1r,35.548,3.1873178,8.920743370332268e-277,8.757862900863615e-274,0.7921270718232044,Significant
Bmpr1b,35.20272,3.7221048,1.8167764969087275e-271,1.6685333953303203e-268,0.7562154696132597,Significant
Syne2,34.657993,2.0475116,3.385333666669409e-263,2.7936852799104758e-260,0.8674033149171271,Significant
Lrp2,34.012024,3.8115263,1.479696087566107e-253,1.1541832181109821e-250,0.7044198895027625,Significant
Grip1,33.726646,3.7775416,2.3522279154674506e-249,1.76234486492937e-246,0.7023480662983426,Significant
Ppp2r2b,33.71806,3.7200634,3.1432322916303344e-249,2.324399869061336e-246,0.7292817679558011,Significant
Camk1d,32.910297,2.0738416,1.5656810924933255e-237,1.1006351492304007e-234,0.8100828729281768,Significant
Wwc1,32.509033,3.6251676,7.94788790953896e-232,5.3876272078221186e-229,0.6823204419889503,Significant
Acsbg1,32.39143,3.5372798,3.624146821834327e-230,2.3450289111598687e-227,0.6899171270718232,Significant
Fgf13,30.874554,4.345434,2.6234084525261196e-209,1.4092405725970733e-206,0.6042817679558011,Significant
Gramd1b,30.870434,2.8086011,2.9796979999790845e-209,1.5856727459514864e-206,0.7299723756906077,Significant
Iqgap2,30.568914,3.190507,3.17026327410354e-205,1.6262879377543213e-202,0.675414364640884,Significant
Nav2,30.477013,3.3017151,5.256155082916189e-204,2.625357250669568e-201,0.6629834254143646,Significant
Dab2,30.197908,3.2524252,2.5231576023210673e-200,1.2493140611631643e-197,0.6616022099447514,Significant
Myo6,30.052471,2.33446,2.0269349825476082e-198,9.78099193569859e-196,0.7493093922651933,Significant
Mylk,29.922537,2.8994262,1.0020303408213734e-196,4.715422284025606e-194,0.6740331491712708,Significant
Ldlrad4,29.913494,2.1766558,1.3137755730560609e-196,6.131778270933209e-194,0.7645027624309392,Significant
Gk,29.826498,3.0122092,1.7714856614394435e-195,8.200826426668565e-193,0.6843922651933702,Significant
Naaladl2,29.365425,3.5634232,1.5185342720732953e-189,6.808414172135867e-187,0.6035911602209945,Significant
Tshz2,28.860556,1.2395066,3.735139794290178e-183,1.5991172558396769e-180,0.9033149171270718,Significant
Cdk6,28.824718,3.1342888,1.051327055208895e-182,4.46743386945147e-180,0.6346685082872928,Significant
Fggy,28.811646,1.827967,1.5330520223237764e-182,6.466186311343568e-180,0.7886740331491713,Significant
Rmst,28.29462,3.0714684,4.0247916849133554e-176,1.648745779357204e-173,0.6767955801104972,Significant
Enah,27.991861,3.3132842,2.0411047810042977e-172,8.184686432053923e-170,0.5946132596685083,Significant
Bcas3,27.944748,1.4800103,7.636030611015599e-172,3.0194667987627723e-169,0.8149171270718232,Significant
Sorcs2,27.882086,3.4531171,4.400144924904593e-171,1.6928962984391383e-168,0.5863259668508287,Significant
Tmem164,27.84294,2.5838866,1.3114864883751306e-170,5.011902827823376e-168,0.7092541436464088,Significant
Nos1ap,27.820269,2.946318,2.4669084579863596e-170,9.364548967080087e-168,0.619475138121547,Significant
Phactr2,27.695292,2.7492278,7.9560368526986e-169,2.9804256212467826e-166,0.6470994475138122,Significant
Patj,26.90743,2.9734101,1.797754186584456e-159,6.318884020883056e-157,0.5959944751381215,Significant
Plekha5,26.842411,1.9697136,1.0343504422049424e-158,3.6133097257418174e-156,0.7299723756906077,Significant
Pax8,25.86951,3.3778777,1.467972543675199e-147,4.695945202775815e-145,0.5366022099447514,Significant
Trpm3,25.856272,3.0150046,2.0684329567714442e-147,6.579812345895128e-145,0.5704419889502762,Significant
Il34,25.844141,3.2319958,2.831560829110706e-147,8.957328065021816e-145,0.5497237569060773,Significant
Oxr1,25.333878,1.8383931,1.3530323178223765e-141,4.0980326175065926e-139,0.7113259668508287,Significant
Sh3rf1,25.105091,2.428541,4.375830507721753e-139,1.3045244237705985e-136,0.625,Significant
Sestd1,25.07081,2.3370013,1.0355228372105441e-138,3.0551142939692017e-136,0.6243093922651933,Significant
Mir100hg,24.913828,1.5257235,5.269374279596169e-137,1.515370913406492e-134,0.774171270718232,Significant
Kifc3,24.770094,3.3466043,1.8835273360335366e-135,5.36249650205428e-133,0.5145027624309392,Significant
Cacna2d3,24.594786,3.0278678,1.4363604918906797e-133,4.028955801416118e-131,0.5476519337016574,Significant
Myo5b,24.571203,3.139093,2.5671178690181747e-133,7.165404832341366e-131,0.5269337016574586,Significant
Dnah5,24.318008,3.381283,1.264432461401953e-130,3.380190083788198e-128,0.5013812154696132,Significant
Hunk,24.120127,3.1029432,1.537417494960638e-128,3.997355688609758e-126,0.5172651933701657,Significant
Msi2,24.116816,1.2992594,1.66540260868873e-128,4.310440451879317e-126,0.7645027624309392,Significant
Sorbs2,23.893507,2.9447439,3.577735860640424e-126,9.054215895143396e-124,0.5290055248618785,Significant
Nedd4l,23.785767,1.7347078,4.6886538783763693e-125,1.1709501775817055e-122,0.6816298342541437,Significant
Tsc22d1,23.774935,2.4349964,6.068843258415707e-125,1.5090218514299072e-122,0.5870165745856354,Significant
Farp1,23.611782,2.3369994,2.9169178850241597e-123,7.190139449833796e-121,0.5959944751381215,Significant
Sgms1,23.265995,1.6762171,9.799308764624402e-120,2.3057125634978436e-117,0.6892265193370166,Significant
Znrf3,23.177269,1.881809,7.720647961850299e-119,1.7943731248804814e-116,0.6477900552486188,Significant
Ppm1h,23.136385,2.3891387,1.9933334992479654e-118,4.5767097895434844e-116,0.5766574585635359,Significant
