,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
Pld5,False,False,78,0.0043177893,99.71934369602764,120.0,True,0.021269046509743404,2.5741103184258356,1.9786291
Gm38081,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0005231436103787591,2.6394574185716033,2.120237
Sntg1,False,False,1776,0.22733161,93.60967184801382,6318.0,True,0.7147282681146847,3.5955167181255026,4.727277
Niban1,False,False,2781,0.16364421,89.99352331606218,4548.0,True,0.5952429125785504,2.649508464809133,2.4664087
Gm29069,False,False,4,0.00014392631,99.98560736902706,4.0,True,0.0010800762915734615,2.3335917382709406,1.4574226
1700025G04Rik,False,False,1880,0.09736615,93.23546344271733,2706.0,True,0.3970509656195854,2.3808959593800485,1.5886198
Catspere1,False,False,14,0.00057570526,99.9496257915947,16.0,True,0.003920379091000287,2.768654602015668,2.4002087
Kif26b,False,False,389,0.02371186,98.6003166378814,659.0,True,0.10031241858550126,2.589206202401592,2.011342
Col3a1,False,False,10993,1.0598733,60.44545192861255,29456.0,True,1.663082168446677,3.2208706120102626,2.5557258
Col5a2,False,False,6028,0.38842112,78.31030512377663,10795.0,True,0.994925874428719,2.6894128852560204,1.9087014
Gm37393,False,False,4,0.00021588946,99.98560736902706,6.0,True,0.00098293872873262,2.4858089540883848,1.787279
Tmeff2,False,False,2636,0.2290947,90.51525618883132,6367.0,True,0.7340940856584229,3.070438511477193,3.2197647
Nyap2,False,False,39,0.001619171,99.85967184801382,45.0,True,0.007841178510600918,2.333170157511515,1.456509
Prex2,False,False,2327,0.1333837,91.62708693149108,3707.0,True,0.534684857184674,2.9140669027893447,3.3309495
Col4a4,False,False,2579,0.14417818,90.72035118019573,4007.0,True,0.5326348060479981,2.390668871339056,1.6205564
Cacna1e,False,False,1266,0.08063471,95.44473229706391,2241.0,True,0.31220370236267836,2.7582920563104887,2.8218985
Stat4,False,False,288,0.015004318,98.96373056994818,417.0,True,0.09133658350307453,2.7831411913993156,2.4316013
Sulf1,False,False,3949,0.28295913,85.79087507196316,7864.0,True,0.8167479146336566,2.8553464607313175,2.60223
Itpkb,False,False,2675,0.15299366,90.37492803684513,4252.0,True,0.5864484743860292,2.6477081472890722,2.4605255
Pid1,False,False,15948,2.2691061,42.61658031088083,63063.0,True,2.3657729699710504,3.6228930917239897,2.1703362
Dner,False,False,86,0.0038860103,99.69055843408175,108.0,True,0.019497375803513274,2.422315371421125,1.6496878
Gm10553,False,False,2,7.196316e-05,99.99280368451353,2.0,True,0.0007787504471503825,2.4182659033371854,1.6409125
Rpl5-ps1,False,False,2,0.00010794473,99.99280368451353,3.0,True,0.0008053879666979953,2.456677141775971,1.7241501
Kcnb2,False,False,60,0.0033822684,99.78411053540587,94.0,True,0.017968852802380454,2.4310976122887062,1.6687189
Gm17967,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.00043334264349405765,2.4510851925944155,1.7120323
Gpr55,False,False,30,0.0011154289,99.89205526770294,31.0,True,0.006899438757385582,2.3708621355894675,1.538188
Dpp10,False,False,190,0.008131837,99.31635002878527,226.0,True,0.043123381627338,2.3672133768304517,1.5302811
Gm37478,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0004155112478776376,2.4090572075974586,1.6209571
Gm37551,False,False,3,0.00010794473,99.98920552677029,3.0,True,0.0009157829055340948,2.4388776064995557,1.6855783
Gpr39,False,False,1583,0.11168682,94.30411629245826,3104.0,True,0.4194748536503749,2.7218968767226084,2.702964
Gm28783,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0005608370840085171,2.7090506922902455,2.2710464
Hecw2,False,False,996,0.051741507,96.41623488773747,1438.0,True,0.25087921062476126,2.504809025002526,1.8284525
Crispld1,False,False,81,0.0038140472,99.70854922279793,106.0,True,0.024934506840774563,3.019136700233784,2.9430063
Crisp4,False,False,141,0.01140616,99.4926597582038,317.0,True,0.03954544180287843,2.3954089598376465,1.5913812
Defb41,False,False,88,0.006908463,99.68336211859527,192.0,True,0.023074496163258268,2.3659214491408176,1.5274814
Ralgps2,False,False,1542,0.072970636,94.45164075993091,2028.0,True,0.30274368340190316,2.4144109758356853,1.6325588
Tmem163,False,False,217,0.013133275,99.2191997697179,365.0,True,0.08475645270569047,3.0874229112163785,3.0909834
Pkhd1,False,False,3947,0.5745898,85.79807138744962,15969.0,True,1.3652914423791547,3.5342373421748206,3.1030495
Kcnq5,False,False,1334,0.14227116,95.20005757052388,3954.0,True,0.6180483353151579,3.806938759355636,5.334275
Gm29374,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.00046002010106836787,2.510839941984203,1.8415215
BC055402,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.00041690225298580296,2.412400032009048,1.6282011
Thsd7b,False,False,145,0.006872481,99.47826712723085,191.0,True,0.03753368223970728,2.452026635289941,1.7140723
Gm15675,False,False,1096,0.048647095,96.05641911341394,1352.0,True,0.18983549632225424,2.35738860228191,1.5089906
Cd55,False,False,1801,0.08444876,93.51971790443294,2347.0,True,0.2917299579046973,2.350638663418858,1.4943635
C4bp,False,False,169,0.012665515,99.3919113413932,352.0,True,0.04752893010218665,2.495899980449146,1.8091464
Mark1,False,False,1790,0.09851756,93.55929763960852,2738.0,True,0.37643264287865125,2.5023758358735138,1.9855994
Pappa2,False,False,42,0.0021588947,99.84887737478411,60.0,True,0.010367142187691124,2.3536751392245,1.5009435
Snora36b,False,False,1,3.598158e-05,99.99640184225676,1.0,True,0.0003879022009572531,2.3402869812639007,1.4719313
Gm10925,False,False,20,0.00071963156,99.9280368451353,20.0,True,0.003572424953342834,2.370437576303318,1.5372679
